Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
A,Agilent Technologies Inc,Healthcare,Diagnostics & Research,USA,36910000000.0,26.25,130.69,-0.0202,2167613.0
AA,Alcoa Corp,Basic Materials,Aluminum,USA,12850000000.0,12.24,48.68,0.0253,9896246.0
AAC-U,Ares Acquisition Corp III,Financial,Shell Companies,USA,346730000.0,,10.05,-0.001,1507692.0
AACB,Artius II Acquisition Inc,Financial,Shell Companies,USA,291140000.0,53.43,10.52,0.0019,17482.0
AACI,Armada Acquisition Corp III,Financial,Shell Companies,USA,340300000.0,,10.0,0.0,58086.0
AACO,Abony Acquisition Corp I,Financial,Shell Companies,USA,312050000.0,,9.95,0.002,48467.0
AACP,Apogee Acquisition Corp,Financial,Shell Companies,USA,57330000.0,,9.97,-0.001,21312.0
AADX,Applied Aerospace & Defense Inc,Industrials,Aerospace & Defense,USA,3940000000.0,,23.06,-0.0331,890030.0
AAL,American Airlines Group Inc,Industrials,Airlines,USA,11850000000.0,58.5,17.92,-0.0127,129743586.0
AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,2600000000.0,31.09,73.09,0.0154,388428.0
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,9710000000.0,,120.95,-0.12990000000000002,15959425.0
AAON,AAON Inc,Industrials,Building Products & Equipment,USA,8820000000.0,75.7,107.62,-0.0756,1423069.0
AAP,Advance Auto Parts Inc,Consumer Cyclical,Auto Parts,USA,3710000000.0,84.99,61.53,-0.0236,1329885.0
AAPG,Ascentage Pharma Group International ADR,Healthcare,Biotechnology,China,1720000000.0,,18.5,0.0301,13518.0
AAPL,Apple Inc,Technology,Consumer Electronics,USA,4532960000000.0,37.34,308.63,0.0484,75218001.0
AARD,Aardvark Therapeutics Inc,Healthcare,Biotechnology,USA,124740000.0,,5.7,0.014199999999999999,210768.0
AAT,American Assets Trust Inc,Real Estate,REIT - Diversified,USA,1570000000.0,84.72,25.51,0.0115,305506.0
AAUC,Allied Gold Corp,Basic Materials,Gold,Canada,3100000000.0,,24.6,0.0375,187221.0
AB,AllianceBernstein Holding Lp,Financial,Asset Management,USA,3400000000.0,11.16,36.31,0.0097,290316.0
ABAT,American Battery Technology Company,Industrials,Waste Management,USA,383320000.0,,2.81,0.0181,4578602.0
ABBV,Abbvie Inc,Healthcare,Drug Manufacturers - General,USA,461260000000.0,128.76,261.07,0.039900000000000005,6799753.0
ABCB,Ameris Bancorp,Financial,Banks - Regional,USA,6060000000.0,14.18,90.12,-0.0167,521125.0
ABCL,AbCellera Biologics Inc,Healthcare,Biotechnology,Canada,2480000000.0,,8.11,0.06709999999999999,8433646.0
ABEO,Abeona Therapeutics Inc,Healthcare,Biotechnology,USA,364770000.0,6.83,6.4,0.0579,1395852.0
ABEV,Ambev SA ADR,Consumer Defensive,Beverages - Brewers,Brazil,48350000000.0,16.9,3.1,-0.0032,18765468.0
ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,3820000000.0,7.27,205.4,0.0373,318038.0
ABLV,Able View Global Inc,Consumer Cyclical,Specialty Retail,China,58770000.0,,1.19,0.0042,168163.0
ABM,ABM Industries Inc,Industrials,Specialty Business Services,USA,2590000000.0,17.06,44.27,-0.0060999999999999995,380174.0
ABNB,Airbnb Inc,Consumer Cyclical,Travel Services,USA,89760000000.0,36.68,148.93,0.011000000000000001,3479736.0
ABOS,Acumen Pharmaceuticals Inc,Healthcare,Biotechnology,USA,197900000.0,,2.74,0.0579,350588.0
ABR,Arbor Realty Trust Inc,Real Estate,REIT - Mortgage,USA,1010000000.0,13.72,5.27,-0.0168,5475447.0
ABSI,Absci Corp,Healthcare,Biotechnology,USA,1970000000.0,,11.62,0.045899999999999996,5258619.0
ABT,Abbott Laboratories,Healthcare,Medical Devices,USA,166170000000.0,26.58,95.4,0.0349,10454790.0
ABTC,American Bitcoin Corp,Financial,Capital Markets,USA,597090000.0,,0.56,-0.1,82358702.0
ABUS,Arbutus Biopharma Corp,Healthcare,Biotechnology,USA,962010000.0,5.92,4.87,0.0296,2598622.0
ABVX,Abivax ADR,Healthcare,Biotechnology,France,11540000000.0,,144.65,0.09119999999999999,3945203.0
ABX,Abacus Global Management Inc,Financial,Insurance - Life,USA,1140000000.0,29.73,11.86,0.0154,578763.0
ACA,Arcosa Inc,Industrials,Engineering & Construction,USA,7110000000.0,32.03,144.97,0.0021,1341029.0
ACAA,Averin Capital Acquisition Corp,Financial,Shell Companies,USA,363960000.0,,10.2,0.016399999999999998,128098.0
ACAD,Acadia Pharmaceuticals Inc,Healthcare,Biotechnology,USA,4450000000.0,11.82,25.97,0.030600000000000002,1548892.0
ACB,Aurora Cannabis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,175910000.0,,2.84,0.010700000000000001,1365396.0
ACCO,Acco Brands Corp,Industrials,Business Equipment & Supplies,USA,387480000.0,5.34,4.2,-0.0345,596165.0
ACDC,ProFrac Holding Corp,Energy,Oil & Gas Equipment & Services,USA,931740000.0,,5.15,-0.061900000000000004,1070324.0
ACEL,Accel Entertainment Inc,Consumer Cyclical,Gambling,USA,1040000000.0,20.93,12.77,0.0,201337.0
ACET,Adicet Bio Inc,Healthcare,Biotechnology,USA,84130000.0,,9.0,0.0441,101119.0
ACGC,ACP Holdings Acquisition Corp,Financial,Shell Companies,USA,294920000.0,,9.96,0.0,202.0
ACGL,Arch Capital Group Ltd,Financial,Insurance - Diversified,Bermuda,35710000000.0,7.85,102.2,0.037000000000000005,2205602.0
ACH,Accendra Health Inc,Healthcare,Medical Distribution,USA,274940000.0,,3.59,0.0028000000000000004,774295.0
ACHC,Acadia Healthcare Company Inc,Healthcare,Medical Care Facilities,USA,2930000000.0,,31.91,0.021099999999999997,4360557.0
ACHR,Archer Aviation Inc,Industrials,Aerospace & Defense,USA,3780000000.0,,4.98,0.012199999999999999,28951311.0
ACHV,Achieve Life Sciences Inc,Healthcare,Biotechnology,USA,657020000.0,,6.4,0.0,1712856.0
ACI,Albertsons Companies Inc,Consumer Defensive,Grocery Stores,USA,6920000000.0,44.77,14.13,0.0232,5098171.0
ACIC,American Coastal Insurance Corp,Financial,Insurance - Property & Casualty,USA,559280000.0,5.49,11.54,0.0141,283499.0
ACIU,AC Immune SA,Healthcare,Biotechnology,Switzerland,255450000.0,,2.51,0.0546,364528.0
ACIW,ACI Worldwide Inc,Technology,Software - Infrastructure,USA,5580000000.0,27.59,54.88,0.0447,1216670.0
ACLS,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA,4440000000.0,45.02,144.5,-0.18969999999999998,1036842.0
ACM,AECOM,Industrials,Engineering & Construction,USA,8710000000.0,14.4,67.74,0.0132,1709495.0
ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials,USA,6760000000.0,74.33,97.77,-0.1655,2903315.0
ACN,Accenture plc,Technology,Information Technology Services,Ireland,84050000000.0,10.97,137.35,0.047400000000000005,11801772.0
ACNB,ACNB Corp,Financial,Banks - Regional,USA,615280000.0,12.31,60.25,-0.0163,68848.0
ACNT,Ascent Industries Co,Basic Materials,Chemicals,USA,137920000.0,146.03,15.26,0.009899999999999999,50269.0
ACOG,Alpha Cognition Inc,Healthcare,Biotechnology,USA,171800000.0,,7.89,0.0128,51970.0
ACP,abrdn Income Credit Strategies Fund,Financial,Closed-End Fund - Debt,USA,662490000.0,16.0,5.28,0.005699999999999999,199331.0
ACR,ACRES Commercial Realty Corp,Real Estate,REIT - Mortgage,USA,128360000.00000001,27.84,18.0,-0.005,11635.0
ACRE,Ares Commercial Real Estate Corp,Real Estate,REIT - Mortgage,USA,250770000.0,,4.52,-0.0022,313465.0
ACRS,Aclaris Therapeutics Inc,Healthcare,Biotechnology,USA,776530000.0,,5.56,0.0412,1942405.0
ACRV,Acrivon Therapeutics Inc,Healthcare,Biotechnology,USA,73620000.0,,1.72,-0.0058,261720.0
ACT,Enact Holdings Inc,Financial,Insurance - Specialty,USA,6330000000.0,9.83,45.34,-0.0011,241563.0
ACTG,Acacia Research Corp,Industrials,Business Equipment & Supplies,USA,438510000.0,,4.54,-0.034,183246.0
