config,split,trades,trd/wk,win%,avgW%,avgL%,exp%,net%,maxDD%,stop%,tp%,signal,variant
donch5/none,FULL,57,1.1,61.4,0.95,-1.67,-0.061,-3.5,-18.3,0.0,0.0,donch5,none
donch5/none,  H1,29,1.1,62.1,0.66,-1.19,-0.037,-1.1,-7.0,0.0,0.0,donch5,none
donch5/none,  H2,28,1.0,60.7,1.25,-2.15,-0.086,-2.4,-12.9,0.0,0.0,donch5,none
donch5/close,FULL,57,1.1,61.4,0.95,-1.54,-0.013,-0.8,-15.7,2.0,0.0,donch5,close
donch5/close,  H1,29,1.1,62.1,0.66,-1.19,-0.037,-1.1,-7.0,0.0,0.0,donch5,close
donch5/close,  H2,28,1.0,60.7,1.25,-1.9,0.012,0.3,-10.2,4.0,0.0,donch5,close
donch5/intr-1.0,FULL,57,1.1,57.9,0.94,-3.33,-0.856,-48.8,-53.0,37.0,0.0,donch5,intr-1.0
donch5/intr-1.0,  H1,29,1.1,62.1,0.66,-2.14,-0.398,-11.5,-12.3,28.0,0.0,donch5,intr-1.0
donch5/intr-1.0,  H2,28,1.0,53.6,1.28,-4.34,-1.33,-37.2,-41.5,46.0,0.0,donch5,intr-1.0
donch5/intr-1.5,FULL,57,1.1,57.9,0.94,-3.77,-1.04,-59.3,-60.3,28.0,0.0,donch5,intr-1.5
donch5/intr-1.5,  H1,29,1.1,62.1,0.66,-2.26,-0.445,-12.9,-13.1,17.0,0.0,donch5,intr-1.5
donch5/intr-1.5,  H2,28,1.0,53.6,1.28,-5.04,-1.656,-46.4,-47.8,39.0,0.0,donch5,intr-1.5
donch5/intr-2.0,FULL,57,1.1,59.6,0.92,-3.03,-0.675,-38.5,-46.8,16.0,0.0,donch5,intr-2.0
donch5/intr-2.0,  H1,29,1.1,62.1,0.66,-1.7,-0.232,-6.7,-10.0,10.0,0.0,donch5,intr-2.0
donch5/intr-2.0,  H2,28,1.0,57.1,1.2,-4.25,-1.134,-31.7,-38.7,21.0,0.0,donch5,intr-2.0
donch5/conf-1.5,FULL,57,1.1,57.9,0.94,-3.77,-1.04,-59.3,-60.3,28.0,0.0,donch5,conf-1.5
donch5/conf-1.5,  H1,29,1.1,62.1,0.66,-2.26,-0.445,-12.9,-13.1,17.0,0.0,donch5,conf-1.5
donch5/conf-1.5,  H2,28,1.0,53.6,1.28,-5.04,-1.656,-46.4,-47.8,39.0,0.0,donch5,conf-1.5
donch10/none,FULL,43,0.8,60.5,1.01,-1.69,-0.06,-2.6,-14.5,0.0,0.0,donch10,none
donch10/none,  H1,23,1.1,60.9,0.7,-1.11,-0.009,-0.2,-6.3,0.0,0.0,donch10,none
donch10/none,  H2,20,0.7,60.0,1.36,-2.35,-0.119,-2.4,-11.7,0.0,0.0,donch10,none
donch10/close,FULL,43,0.8,60.5,1.01,-1.53,0.003,0.1,-11.9,2.0,0.0,donch10,close
donch10/close,  H1,23,1.1,60.9,0.7,-1.11,-0.009,-0.2,-6.3,0.0,0.0,donch10,close
donch10/close,  H2,20,0.7,60.0,1.36,-2.0,0.018,0.4,-9.0,5.0,0.0,donch10,close
donch10/intr-1.0,FULL,43,0.8,58.1,0.97,-3.2,-0.777,-33.4,-39.3,37.0,0.0,donch10,intr-1.0
donch10/intr-1.0,  H1,23,1.1,60.9,0.7,-2.04,-0.373,-8.6,-11.4,30.0,0.0,donch10,intr-1.0
donch10/intr-1.0,  H2,20,0.7,55.0,1.31,-4.36,-1.242,-24.8,-29.3,45.0,0.0,donch10,intr-1.0
donch10/intr-1.5,FULL,43,0.8,58.1,0.97,-3.6,-0.946,-40.7,-46.0,28.0,0.0,donch10,intr-1.5
donch10/intr-1.5,  H1,23,1.1,60.9,0.7,-2.0,-0.356,-8.2,-12.1,17.0,0.0,donch10,intr-1.5
donch10/intr-1.5,  H2,20,0.7,55.0,1.31,-5.2,-1.624,-32.5,-35.9,40.0,0.0,donch10,intr-1.5
donch10/intr-2.0,FULL,43,0.8,58.1,0.97,-3.43,-0.874,-37.6,-42.1,21.0,0.0,donch10,intr-2.0
donch10/intr-2.0,  H1,23,1.1,60.9,0.7,-1.74,-0.255,-5.9,-9.9,13.0,0.0,donch10,intr-2.0
donch10/intr-2.0,  H2,20,0.7,55.0,1.31,-5.12,-1.586,-31.7,-34.1,30.0,0.0,donch10,intr-2.0
donch10/conf-1.5,FULL,43,0.8,58.1,0.97,-3.6,-0.946,-40.7,-46.0,28.0,0.0,donch10,conf-1.5
donch10/conf-1.5,  H1,23,1.1,60.9,0.7,-2.0,-0.356,-8.2,-12.1,17.0,0.0,donch10,conf-1.5
donch10/conf-1.5,  H2,20,0.7,55.0,1.31,-5.2,-1.624,-32.5,-35.9,40.0,0.0,donch10,conf-1.5
donch20/none,FULL,23,0.5,52.2,1.2,-2.18,-0.414,-9.5,-13.8,0.0,0.0,donch20,none
donch20/none,  H1,10,0.6,60.0,0.82,-1.83,-0.237,-2.4,-5.6,0.0,0.0,donch20,none
donch20/none,  H2,13,0.5,46.2,1.58,-2.38,-0.55,-7.2,-11.0,0.0,0.0,donch20,none
donch20/close,FULL,23,0.5,52.2,1.2,-1.93,-0.295,-6.8,-11.1,4.0,0.0,donch20,close
donch20/close,  H1,10,0.6,60.0,0.82,-1.83,-0.237,-2.4,-5.6,0.0,0.0,donch20,close
donch20/close,  H2,13,0.5,46.2,1.58,-1.99,-0.339,-4.4,-8.4,8.0,0.0,donch20,close
donch20/intr-1.0,FULL,23,0.5,52.2,1.2,-3.7,-1.142,-26.3,-29.8,43.0,0.0,donch20,intr-1.0
donch20/intr-1.0,  H1,10,0.6,60.0,0.82,-2.53,-0.519,-5.2,-7.9,30.0,0.0,donch20,intr-1.0
donch20/intr-1.0,  H2,13,0.5,46.2,1.58,-4.37,-1.622,-21.1,-21.5,54.0,0.0,donch20,intr-1.0
donch20/intr-1.5,FULL,23,0.5,52.2,1.2,-4.42,-1.487,-34.2,-37.3,39.0,0.0,donch20,intr-1.5
donch20/intr-1.5,  H1,10,0.6,60.0,0.82,-3.44,-0.883,-8.8,-11.1,30.0,0.0,donch20,intr-1.5
donch20/intr-1.5,  H2,13,0.5,46.2,1.58,-4.98,-1.951,-25.4,-25.3,46.0,0.0,donch20,intr-1.5
donch20/intr-2.0,FULL,23,0.5,52.2,1.2,-3.78,-1.183,-27.2,-30.4,26.0,0.0,donch20,intr-2.0
donch20/intr-2.0,  H1,10,0.6,60.0,0.82,-2.72,-0.596,-6.0,-8.3,20.0,0.0,donch20,intr-2.0
donch20/intr-2.0,  H2,13,0.5,46.2,1.58,-4.39,-1.634,-21.2,-22.4,31.0,0.0,donch20,intr-2.0
donch20/conf-1.5,FULL,23,0.5,52.2,1.2,-4.42,-1.487,-34.2,-37.3,39.0,0.0,donch20,conf-1.5
donch20/conf-1.5,  H1,10,0.6,60.0,0.82,-3.44,-0.883,-8.8,-11.1,30.0,0.0,donch20,conf-1.5
donch20/conf-1.5,  H2,13,0.5,46.2,1.58,-4.98,-1.951,-25.4,-25.3,46.0,0.0,donch20,conf-1.5
atr0.5/none,FULL,107,2.1,67.3,1.04,-2.24,-0.031,-3.3,-32.8,0.0,0.0,atr0.5,none
atr0.5/none,  H1,52,2.2,71.2,0.64,-1.43,0.043,2.2,-8.8,0.0,0.0,atr0.5,none
atr0.5/none,  H2,55,2.0,63.6,1.47,-2.85,-0.1,-5.5,-29.7,0.0,0.0,atr0.5,none
atr0.5/close,FULL,107,2.1,67.3,1.04,-1.53,0.202,21.6,-12.3,4.0,0.0,atr0.5,close
atr0.5/close,  H1,52,2.2,71.2,0.64,-1.18,0.115,6.0,-5.6,2.0,0.0,atr0.5,close
atr0.5/close,  H2,55,2.0,63.6,1.47,-1.79,0.284,15.6,-11.3,5.0,0.0,atr0.5,close
atr0.5/intr-1.0,FULL,107,2.1,58.9,1.06,-2.89,-0.563,-60.2,-68.8,35.0,0.0,atr0.5,intr-1.0
atr0.5/intr-1.0,  H1,52,2.2,63.5,0.68,-1.59,-0.151,-7.8,-11.0,27.0,0.0,atr0.5,intr-1.0
atr0.5/intr-1.0,  H2,55,2.0,54.5,1.48,-3.87,-0.953,-52.4,-60.6,42.0,0.0,atr0.5,intr-1.0
atr0.5/intr-1.5,FULL,107,2.1,59.8,1.05,-3.42,-0.743,-79.6,-88.0,27.0,0.0,atr0.5,intr-1.5
atr0.5/intr-1.5,  H1,52,2.2,63.5,0.68,-1.68,-0.183,-9.5,-15.4,19.0,0.0,atr0.5,intr-1.5
atr0.5/intr-1.5,  H2,55,2.0,56.4,1.46,-4.8,-1.274,-70.1,-77.9,35.0,0.0,atr0.5,intr-1.5
atr0.5/intr-2.0,FULL,107,2.1,63.6,1.09,-3.04,-0.415,-44.4,-59.8,18.0,0.0,atr0.5,intr-2.0
atr0.5/intr-2.0,  H1,52,2.2,65.4,0.67,-1.63,-0.126,-6.6,-12.1,13.0,0.0,atr0.5,intr-2.0
atr0.5/intr-2.0,  H2,55,2.0,61.8,1.51,-4.24,-0.689,-37.9,-51.6,22.0,0.0,atr0.5,intr-2.0
atr0.5/conf-1.5,FULL,107,2.1,59.8,1.05,-3.42,-0.743,-79.6,-88.0,27.0,0.0,atr0.5,conf-1.5
atr0.5/conf-1.5,  H1,52,2.2,63.5,0.68,-1.68,-0.183,-9.5,-15.4,19.0,0.0,atr0.5,conf-1.5
atr0.5/conf-1.5,  H2,55,2.0,56.4,1.46,-4.8,-1.274,-70.1,-77.9,35.0,0.0,atr0.5,conf-1.5
atr1.0/none,FULL,37,0.7,67.6,0.94,-2.13,-0.052,-1.9,-13.1,0.0,0.0,atr1.0,none
atr1.0/none,  H1,16,0.7,81.2,0.76,-1.9,0.262,4.2,-4.0,0.0,0.0,atr1.0,none
atr1.0/none,  H2,21,0.8,57.1,1.14,-2.2,-0.29,-6.1,-13.0,0.0,0.0,atr1.0,none
atr1.0/close,FULL,37,0.7,67.6,0.94,-1.9,0.022,0.8,-10.5,3.0,0.0,atr1.0,close
atr1.0/close,  H1,16,0.7,81.2,0.76,-1.9,0.262,4.2,-4.0,0.0,0.0,atr1.0,close
atr1.0/close,  H2,21,0.8,57.1,1.14,-1.9,-0.16,-3.4,-10.3,5.0,0.0,atr1.0,close
atr1.0/intr-1.0,FULL,37,0.7,59.5,1.0,-3.67,-0.891,-33.0,-36.7,38.0,0.0,atr1.0,intr-1.0
atr1.0/intr-1.0,  H1,16,0.7,75.0,0.81,-2.34,0.02,0.3,-5.7,25.0,0.0,atr1.0,intr-1.0
atr1.0/intr-1.0,  H2,21,0.8,47.6,1.23,-4.15,-1.586,-33.3,-33.7,48.0,0.0,atr1.0,intr-1.0
atr1.0/intr-1.5,FULL,37,0.7,59.5,1.0,-4.92,-1.399,-51.8,-54.8,32.0,0.0,atr1.0,intr-1.5
atr1.0/intr-1.5,  H1,16,0.7,75.0,0.81,-2.64,-0.056,-0.9,-7.9,12.0,0.0,atr1.0,intr-1.5
atr1.0/intr-1.5,  H2,21,0.8,47.6,1.23,-5.74,-2.422,-50.9,-51.2,48.0,0.0,atr1.0,intr-1.5
atr1.0/intr-2.0,FULL,37,0.7,64.9,0.97,-4.01,-0.776,-28.7,-37.3,16.0,0.0,atr1.0,intr-2.0
atr1.0/intr-2.0,  H1,16,0.7,75.0,0.81,-1.65,0.192,3.1,-4.0,6.0,0.0,atr1.0,intr-2.0
atr1.0/intr-2.0,  H2,21,0.8,57.1,1.14,-5.05,-1.513,-31.8,-37.7,24.0,0.0,atr1.0,intr-2.0
atr1.0/conf-1.5,FULL,37,0.7,59.5,1.0,-4.92,-1.399,-51.8,-54.8,32.0,0.0,atr1.0,conf-1.5
atr1.0/conf-1.5,  H1,16,0.7,75.0,0.81,-2.64,-0.056,-0.9,-7.9,12.0,0.0,atr1.0,conf-1.5
atr1.0/conf-1.5,  H2,21,0.8,47.6,1.23,-5.74,-2.422,-50.9,-51.2,48.0,0.0,atr1.0,conf-1.5
