entry_date,exit_date,net_credit,exit_debit,put_short,put_long,call_short,call_long,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-17,2025-06-19,21.55,0.1,24500,24250,25250,25500,228.45,1008.75,target,1.00875,1008.75
2025-06-24,2025-06-26,20.5,99.6,24700,24450,25450,25700,229.5,-6532.500000000001,stop_loss,-6.532500000000001,-5523.750000000001
2025-07-01,2025-07-03,11.7,0.1,25250,25000,26050,26300,238.3,270.0,target,0.27,-5253.750000000001
2025-07-08,2025-07-10,14.35,0.0,25250,24950,26000,26250,285.65,476.25,expiry,0.47625,-4777.500000000001
2025-07-15,2025-07-17,8.8,0.0,24900,24650,25650,25900,241.2,60.0,target,0.06,-4717.500000000001
2025-07-22,2025-07-24,5.8,0.0,24700,24450,25450,25700,244.2,-164.99999999999994,expiry,-0.16499999999999992,-4882.500000000001
2025-07-29,2025-07-31,10.7,0.0,24450,24200,25200,25450,239.3,202.5,expiry,0.20249999999999999,-4680.000000000001
2025-08-05,2025-08-07,13.75,0.05,24350,24100,25100,25350,236.25,427.5,target,0.4275,-4252.500000000001
2025-08-12,2025-08-14,12.25,0.1,24200,23950,24900,25150,237.75,311.25,target,0.31124999999999997,-3941.250000000001
2025-08-19,2025-08-21,6.85,0.0,24650,24400,25400,25650,243.15,-86.25,target,-0.08625,-4027.500000000001
2025-08-25,2025-08-28,7.05,103.8,24600,24350,25350,25600,242.95,-7856.25,stop_loss,-7.856249999999999,-11883.75
2025-08-29,2025-09-02,15.2,0.05,24200,23950,24950,25200,234.8,536.25,target,0.53625,-11347.5
2025-09-05,2025-09-09,10.15,0.05,24450,24250,25200,25450,239.85,157.5000000000001,target,0.1575000000000001,-11190.0
2025-09-12,2025-09-16,9.05,0.0,24850,24550,25600,25850,290.95,78.75,expiry,0.07875,-11111.25
2025-09-19,2025-09-23,6.75,0.0,25050,24800,25800,26050,243.25,-93.75,expiry,-0.09375,-11205.0
2025-09-26,2025-09-30,13.2,0.0,24300,24050,25050,25300,236.8,390.0,expiry,0.38999999999999996,-10815.0
2025-10-03,2025-10-07,10.0,0.0,24650,24400,25400,25650,240.0,150.0000000000001,target,0.1500000000000001,-10665.0
2025-10-10,2025-10-14,7.6,0.0,25050,24800,25800,26050,242.4,-30.0,expiry,-0.03,-10695.0
2025-10-16,2025-10-20,12.05,0.05,25250,25000,26050,26300,237.95,300.0,target,0.3,-10395.0
2025-10-24,2025-10-28,13.8,0.0,25450,25150,26200,26450,286.2,435.0,expiry,0.43499999999999994,-9960.0
2025-10-31,2025-11-04,14.95,0.0,25500,25250,26300,26550,235.05,521.25,expiry,0.52125,-9438.75
2025-11-07,2025-11-11,11.05,0.05,25200,24950,25950,26250,288.95,225.0,target,0.22499999999999998,-9213.75
2025-11-14,2025-11-18,16.55,0.05,25550,25300,26350,26600,233.45,637.4999999999998,target,0.6374999999999997,-8576.25
2025-11-21,2025-11-25,16.35,0.05,25700,25450,26450,26750,283.65,622.5,target,0.6224999999999999,-7953.75
2025-11-28,2025-12-02,17.1,0.0,26000,25750,26800,27050,232.9,682.5,expiry,0.6825,-7271.25
2025-12-05,2025-12-08,10.8,55.05,25950,25650,26750,27000,289.2,-3918.75,stop_loss,-3.91875,-11190.0
2025-12-12,2025-12-16,6.9,0.0,25750,25500,26550,26800,243.1,-82.49999999999989,target,-0.08249999999999989,-11272.5
