entry_date,exit_date,net_credit,exit_debit,put_short,put_long,call_short,call_long,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-20,2025-06-24,44.3,21.55,24750,24500,25500,25750,205.7,1106.25,target,1.10625,1106.25
2025-06-27,2025-07-03,34.1,0.2,25350,25100,26150,26400,215.9,1942.5000000000005,target,1.9425000000000006,3048.7500000000005
2025-07-04,2025-07-08,37.2,12.55,25150,24900,25900,26200,262.8,1248.7500000000002,target,1.2487500000000002,4297.500000000001
2025-07-11,2025-07-15,29.3,8.55,24850,24600,25600,25850,220.7,956.25,target,0.9562499999999999,5253.750000000001
2025-07-18,2025-07-22,31.1,6.3,24650,24400,25400,25650,218.9,1260.0,target,1.26,6513.750000000001
2025-07-25,2025-07-29,32.15,12.6,24500,24250,25200,25450,217.85,866.2499999999998,target,0.8662499999999999,7380.000000000001
2025-08-01,2025-08-05,45.5,12.45,24250,24000,25000,25250,204.5,1878.75,target,1.87875,9258.75
2025-08-08,2025-08-12,32.35,11.9,24050,23850,24800,25050,217.65,933.7500000000002,target,0.9337500000000002,10192.5
2025-09-03,2025-09-05,24.55,10.75,24450,24200,25200,25450,225.45,435.0,target,0.43499999999999994,10627.5
2025-09-10,2025-09-12,21.8,6.5,24700,24450,25450,25700,228.2,547.5,target,0.5475,11175.0
2025-09-17,2025-09-18,19.3,8.2,25050,24800,25800,26050,230.7,232.5000000000001,target,0.23250000000000012,11407.5
2025-09-24,2025-09-26,19.05,94.0,24750,24500,25500,25750,230.95,-6221.25,stop_loss,-6.2212499999999995,5186.25
2025-10-08,2025-10-13,17.7,4.55,24750,24500,25500,25750,232.3,386.2499999999999,target,0.38624999999999987,5572.5
2025-10-21,2025-10-24,29.75,13.2,25500,25250,26300,26550,220.25,641.25,target,0.64125,6213.75
2025-10-29,2025-11-04,41.8,244.65,25850,25600,26650,26900,208.2,-15813.749999999998,stop_loss,-15.813749999999999,-9599.999999999998
2025-11-12,2025-11-17,29.5,2.35,25600,25350,26400,26650,220.5,1436.25,target,1.43625,-8163.749999999998
2025-11-19,2025-11-21,42.05,16.55,25700,25400,26450,26700,257.95,1312.4999999999998,target,1.3124999999999998,-6851.249999999998
2025-11-26,2025-11-28,43.65,18.0,26000,25700,26800,27050,256.35,1323.75,target,1.32375,-5527.499999999998
2025-12-03,2025-12-04,29.95,14.65,25750,25500,26550,26800,220.05,547.5,target,0.5475,-4979.999999999998
2025-12-10,2025-12-11,34.15,15.8,25500,25200,26250,26500,265.85,776.2500000000007,target,0.7762500000000008,-4203.749999999997
2025-12-17,2025-12-19,19.0,4.9,25500,25250,26300,26550,231.0,457.5,target,0.4575,-3746.2499999999973
2025-12-31,2026-01-02,17.65,3.55,25900,25650,26700,26950,232.35,457.5,target,0.4575,-3288.7499999999973
2026-01-07,2026-01-08,12.6,51.75,25850,25600,26650,26900,237.4,-3536.25,stop_loss,-3.53625,-6824.999999999997
2026-01-28,2026-02-03,74.2,1.15,25050,24800,25850,26100,175.8,4878.75,target,4.87875,-1946.2499999999973
2026-02-04,2026-02-09,44.4,7.5,25450,25200,26250,26500,205.6,2167.5000000000005,target,2.1675000000000004,221.25000000000318
2026-02-11,2026-02-13,21.5,111.45,25600,25350,26400,26650,228.5,-7346.249999999999,stop_loss,-7.346249999999999,-7124.999999999996
2026-02-18,2026-02-23,30.3,14.0,25450,25200,26200,26450,219.7,622.4999999999993,target,0.6224999999999994,-6502.499999999997
2026-03-04,2026-03-10,115.45,1.85,24200,23950,24950,25200,134.55,7919.999999999998,target,7.919999999999998,1417.500000000001
2026-03-11,2026-03-17,120.45,14.05,23600,23350,24300,24550,129.55,7380.0,target,7.380000000000001,8797.5
2026-03-18,2026-03-24,65.3,197.95,23400,23200,24150,24350,134.7,-10548.750000000002,stop_loss,-10.548750000000002,-1751.2500000000018
2026-04-15,2026-04-20,81.3,39.5,23850,23650,24600,24850,168.7,2535.000000000001,target,2.5350000000000006,783.7499999999991
2026-04-22,2026-04-27,90.2,37.6,24000,23750,24750,25000,159.8,3345.0,target,3.345,4128.749999999999
2026-05-06,2026-05-12,78.1,251.75,24100,23850,24800,25050,171.9,-13492.499999999998,stop_loss,-13.4925,-9363.75
2026-05-13,2026-05-18,84.95,40.25,23100,22900,23800,24050,165.05,2752.5000000000014,target,2.7525000000000013,-6611.249999999998
2026-05-20,2026-05-26,78.9,0.1,23300,23100,24000,24250,171.1,5310.0,target,5.3100000000000005,-1301.2499999999982
2026-06-03,2026-06-09,72.35,0.05,23150,22950,23850,24100,177.65,4822.500000000001,target,4.822500000000001,3521.2500000000027
2026-06-10,2026-06-16,63.1,200.95,22900,22650,23600,23800,186.9,-10938.750000000002,stop_loss,-10.93875,-7417.499999999999
2026-06-17,2026-06-19,49.65,23.0,23750,23500,24450,24700,200.35,1398.7500000000005,target,1.3987500000000006,-6018.749999999998
2026-07-01,2026-07-07,48.75,1.4,23750,23500,24450,24700,201.25,2951.25,target,2.95125,-3067.499999999998
2026-07-08,2026-07-14,72.4,0.1,23550,23300,24250,24500,177.6,4822.5,target,4.8225,1755.0000000000018
