entry_date,exit_date,net_credit,exit_debit,put_short,put_long,call_short,call_long,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-07-15,2025-07-16,8.8,4.0,24900,24650,25650,25900,241.2,-239.99999999999994,target,-0.23999999999999994,-239.99999999999994
2025-07-22,2025-07-24,5.8,0.1,24700,24450,25450,25700,244.2,-172.49999999999994,target,-0.17249999999999996,-412.4999999999999
2025-08-19,2025-08-20,6.85,3.0,24650,24400,25400,25650,243.15,-311.25,target,-0.31124999999999997,-723.7499999999999
2025-08-25,2025-08-28,7.05,103.8,24600,24350,25350,25600,242.95,-7856.25,stop_loss,-7.856249999999999,-8580.0
2025-09-05,2025-09-08,10.15,4.05,24450,24250,25200,25450,239.85,-142.49999999999983,target,-0.14249999999999982,-8722.5
2025-09-12,2025-09-16,9.05,0.1,24850,24550,25600,25850,290.95,71.25000000000011,target,0.0712500000000001,-8651.25
2025-09-19,2025-09-23,6.75,0.1,25050,24800,25800,26050,243.25,-101.25,target,-0.10124999999999999,-8752.5
2025-09-26,2025-09-29,13.2,3.25,24300,24050,25050,25300,236.8,146.25,target,0.14625,-8606.25
2025-10-10,2025-10-14,7.6,0.1,25050,24800,25800,26050,242.4,-37.5,target,-0.0375,-8643.75
2025-10-24,2025-10-28,13.8,0.15,25450,25150,26200,26450,286.2,423.75,target,0.42375,-8220.0
2025-11-07,2025-11-10,11.05,2.75,25200,24950,25950,26250,288.95,22.5,target,0.0225,-8197.5
2025-11-14,2025-11-17,16.55,2.55,25550,25300,26350,26600,233.45,449.9999999999998,target,0.4499999999999998,-7747.5
2025-11-21,2025-11-24,16.35,5.2,25700,25450,26450,26750,283.65,236.2500000000001,target,0.23625000000000013,-7511.25
2025-12-05,2025-12-08,10.8,55.05,25950,25650,26750,27000,289.2,-3918.75,stop_loss,-3.91875,-11430.0
2025-12-19,2025-12-23,5.8,0.05,25650,25400,26400,26700,294.2,-168.74999999999994,target,-0.16874999999999993,-11598.75
2026-01-09,2026-01-12,13.25,4.55,25400,25150,26200,26450,236.75,52.5,target,0.0525,-11546.25
2026-01-16,2026-01-20,12.5,67.1,25350,25100,26150,26400,237.5,-4695.0,stop_loss,-4.695,-16241.25
2026-02-13,2026-02-17,22.55,0.05,25150,24900,25900,26150,227.45,1087.5,target,1.0875,-15153.75
2026-02-20,2026-02-24,28.2,0.1,25200,24950,25950,26200,221.8,1507.4999999999995,target,1.5074999999999994,-13646.25
2026-02-26,2026-03-02,28.85,242.5,25250,25000,26000,26300,271.15,-16623.75,stop_loss,-16.62375,-30270.0
2026-04-09,2026-04-13,77.25,0.1,23500,23250,24200,24450,172.75,5186.25,target,5.18625,-25083.75
2026-04-17,2026-04-21,48.0,0.05,24000,23750,24750,25000,202.0,2996.25,target,2.99625,-22087.5
2026-04-24,2026-04-27,56.0,23.9,23550,23300,24300,24500,194.0,1807.5,target,1.8075,-20280.0
2026-04-30,2026-05-04,71.95,26.1,23750,23500,24450,24700,178.05,2838.75,target,2.83875,-17441.25
2026-05-08,2026-05-12,40.25,200.9,23850,23650,24600,24850,209.75,-12648.749999999998,stop_loss,-12.648749999999998,-30090.0
2026-05-22,2026-05-26,43.7,0.05,23400,23150,24100,24350,206.3,2673.75,target,2.67375,-27416.25
2026-06-05,2026-06-09,43.35,0.1,23100,22850,23800,24050,206.65,2643.75,target,2.64375,-24772.5
2026-06-19,2026-06-22,20.0,5.25,23700,23450,24400,24650,230.0,506.25,target,0.50625,-24266.25
2026-06-25,2026-06-30,21.8,0.55,23750,23500,24450,24700,228.2,993.75,target,0.99375,-23272.5
2026-07-03,2026-07-06,14.75,4.05,24000,23750,24700,24950,235.25,202.5,target,0.20249999999999999,-23070.0
