entry_date,exit_date,net_credit,exit_debit,put_short,put_long,call_short,call_long,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-17,2025-06-19,11.5,0.1,24350,24100,25350,25600,238.5,255.0,target,0.255,255.0
2025-06-24,2025-06-26,10.1,3.45,24550,24300,25550,25800,239.9,-101.24999999999983,target,-0.10124999999999983,153.75000000000017
2025-07-01,2025-07-03,6.55,0.0,25150,24850,26150,26400,293.45,-108.75,target,-0.10874999999999999,45.00000000000017
2025-07-08,2025-07-10,5.8,0.05,25100,24850,26100,26400,294.2,-168.75000000000006,target,-0.16875000000000007,-123.74999999999989
2025-07-15,2025-07-16,3.15,1.3,24750,24500,25750,26000,246.85,-461.25,target,-0.46125000000000005,-584.9999999999999
2025-07-22,2025-07-24,2.45,0.0,24600,24350,25600,25850,247.55,-416.25,target,-0.41625000000000006,-1001.2499999999999
2025-07-29,2025-07-30,4.7,1.85,24350,24100,25350,25600,245.3,-386.25,target,-0.38625,-1387.5
2025-08-05,2025-08-07,5.35,-0.05,24200,23950,25200,25450,244.65,-195.00000000000006,target,-0.19500000000000006,-1582.5
2025-08-12,2025-08-13,4.55,1.65,24050,23800,25050,25300,245.45,-382.49999999999994,target,-0.38249999999999995,-1965.0
2025-08-19,2025-08-20,2.95,1.4,24550,24300,25550,25800,247.05,-483.75,target,-0.48374999999999996,-2448.75
2025-08-25,2025-08-28,3.4,0.0,24500,24250,25500,25750,246.6,-345.0,expiry,-0.345,-2793.75
2025-08-29,2025-09-01,8.1,1.35,24100,23850,25050,25300,241.9,-93.75,target,-0.09375,-2887.5
2025-09-05,2025-09-08,4.8,1.95,24350,24100,25350,25600,245.2,-386.25,target,-0.38625,-3273.75
2025-09-12,2025-09-15,3.5,1.75,24700,24450,25700,25950,246.5,-468.75,target,-0.46875,-3742.5
2025-09-19,2025-09-23,2.35,-0.05,24900,24650,25900,26150,247.65,-420.0,target,-0.42,-4162.5
2025-09-26,2025-09-29,6.35,1.65,24200,23950,25200,25450,243.65,-247.50000000000006,target,-0.24750000000000005,-4410.0
2025-10-03,2025-10-06,3.9,1.25,24500,24250,25500,25750,246.1,-401.25,target,-0.40124999999999994,-4811.25
2025-10-10,2025-10-14,2.95,-0.05,24900,24650,25900,26150,247.05,-375.0,target,-0.375,-5186.25
2025-10-16,2025-10-20,7.0,0.05,25150,24900,26150,26450,293.0,-78.74999999999989,target,-0.07874999999999988,-5265.0
2025-10-24,2025-10-28,5.6,0.1,25300,25050,26350,26600,244.4,-187.49999999999994,target,-0.18749999999999994,-5452.5
2025-10-31,2025-11-03,7.6,2.65,25400,25150,26400,26700,292.4,-228.75000000000006,target,-0.22875000000000004,-5681.25
2025-11-07,2025-11-10,5.55,1.35,25100,24800,26100,26350,294.45,-285.00000000000006,target,-0.28500000000000003,-5966.25
