entry_date,exit_date,direction,credit,outcome,had_intraday,pnl_gross,pnl
2025-06-16,2025-06-17,bull,35.0,close,True,-851.2500000000007,-971.2500000000007
2025-06-17,2025-06-18,bear,17.15,close,True,626.25,506.25
2025-06-18,2025-06-19,bear,8.1,close,True,600.0,480.0
2025-06-20,2025-06-23,bull,34.150000000000006,stop,True,-4482.187500000001,-4602.187500000001
2025-06-24,2025-06-25,bear,23.700000000000003,stop,True,-3110.6250000000005,-3230.6250000000005
2025-06-25,2025-06-26,bull,11.45,close,True,858.75,738.75
2025-06-27,2025-06-30,bull,46.6,stop,True,-6116.250000000001,-6236.250000000001
2025-06-30,2025-07-01,bear,22.45,close,True,783.75,663.75
2025-07-02,2025-07-03,bear,4.15,close,True,311.25,191.25
2025-07-04,2025-07-07,bull,44.449999999999996,close,True,678.7499999999998,558.7499999999998
2025-07-08,2025-07-09,bull,19.75,close,True,195.0000000000001,75.00000000000011
2025-07-09,2025-07-10,bear,4.95,close,True,371.25,251.25
2025-07-11,2025-07-14,bear,20.650000000000002,close,True,693.7500000000001,573.7500000000001
2025-07-15,2025-07-16,bull,12.8,close,True,453.7500000000001,333.7500000000001
2025-07-16,2025-07-17,bull,6.749999999999999,close,True,498.74999999999994,378.74999999999994
2025-07-18,2025-07-21,bear,24.500000000000004,close,True,22.50000000000032,-97.49999999999969
2025-07-21,2025-07-22,bull,20.65,close,True,367.4999999999999,247.4999999999999
2025-07-22,2025-07-23,bear,6.65,close,True,-412.4999999999999,-532.4999999999999
2025-07-23,2025-07-24,bull,4.65,stop,True,-610.3125000000001,-730.3125000000001
2025-07-25,2025-07-28,bear,27.35,close,True,1185.0,1065.0
2025-07-28,2025-07-29,bear,23.150000000000002,close,True,-536.2499999999997,-656.2499999999997
2025-07-29,2025-07-30,bull,11.55,close,True,472.50000000000006,352.50000000000006
2025-07-30,2025-07-31,bull,5.25,stop,True,-689.0625,-809.0625
2025-08-01,2025-08-04,bear,33.95,close,True,-1196.2500000000002,-1316.2500000000002
2025-08-04,2025-08-05,bull,35.5,close,True,-356.25,-476.25
2025-08-06,2025-08-07,bear,4.2,close,True,315.0,195.0
2025-08-08,2025-08-11,bear,25.499999999999996,close,True,-1278.7500000000007,-1398.7500000000007
2025-08-11,2025-08-12,bull,29.25,close,True,-135.0000000000003,-255.0000000000003
2025-08-12,2025-08-13,bear,8.9,close,True,-180.00000000000003,-300.0
2025-08-13,2025-08-14,bull,8.7,close,True,648.7499999999999,528.7499999999999
2025-08-19,2025-08-20,bull,14.6,close,True,697.5,577.5
2025-08-20,2025-08-21,bull,8.2,close,True,615.0,495.0
2025-08-22,2025-08-25,bear,23.900000000000002,close,True,266.25000000000006,146.25000000000006
2025-08-25,2025-08-26,bull,10.55,stop,True,-1384.6875000000002,-1504.6875000000002
2025-08-26,2025-08-28,bear,9.149999999999999,close,True,686.2499999999999,566.2499999999999
2025-08-29,2025-09-01,bear,7.45,close,True,3.7500000000000533,-116.24999999999994
2025-09-01,2025-09-02,bull,13.45,close,True,982.5,862.5
2025-09-03,2025-09-04,bull,32.4,close,True,641.25,521.25
2025-09-04,2025-09-05,bear,8.950000000000001,close,True,247.5000000000001,127.50000000000011
2025-09-08,2025-09-09,bear,1.5999999999999999,close,True,116.24999999999999,-3.750000000000014
2025-09-11,2025-09-12,bull,22.2,close,True,1091.25,971.25
2025-09-12,2025-09-15,bull,15.249999999999998,close,True,434.9999999999998,314.9999999999998
2025-09-15,2025-09-16,bear,1.35,close,True,101.25,-18.75
2025-09-17,2025-09-18,bull,22.2,close,True,1136.25,1016.25
2025-09-18,2025-09-19,bull,13.2,stop,True,-1732.4999999999998,-1852.4999999999998
2025-09-22,2025-09-23,bear,2.6,close,True,195.0,75.0
2025-09-24,2025-09-25,bear,19.799999999999997,close,True,926.2499999999999,806.2499999999999
2025-09-25,2025-09-26,bear,18.55,close,True,1170.0,1050.0
2025-09-26,2025-09-29,bear,13.200000000000001,close,True,768.7500000000001,648.7500000000001
2025-09-29,2025-09-30,bear,2.9499999999999997,close,True,217.5,97.5
2025-10-01,2025-10-03,bull,27.750000000000004,close,True,1128.7500000000002,1008.7500000000002
2025-10-03,2025-10-06,bull,17.25,close,True,1173.75,1053.75
2025-10-06,2025-10-07,bull,8.55,close,True,637.5,517.5
2025-10-08,2025-10-09,bear,14.0,stop,True,-1837.5,-1957.5
2025-10-09,2025-10-10,bull,16.55,close,True,862.5,742.5
2025-10-10,2025-10-13,bull,14.499999999999998,stop,True,-1903.1249999999998,-2023.1249999999998
2025-10-13,2025-10-14,bull,7.85,stop,True,-1030.3125,-1150.3125
2025-10-15,2025-10-16,bull,22.3,close,True,1237.5,1117.5
2025-10-16,2025-10-17,bull,20.7,close,True,986.25,866.25
2025-10-23,2025-10-24,bear,18.5,close,True,1001.2500000000001,881.2500000000001
2025-10-24,2025-10-27,bear,18.75,stop,True,-2460.9375,-2580.9375
2025-10-27,2025-10-28,bull,6.8999999999999995,stop,True,-905.625,-1025.625
2025-10-29,2025-10-30,bull,63.3,stop,True,-8308.125,-8428.125
2025-10-30,2025-10-31,bear,14.299999999999999,close,True,701.2499999999999,581.2499999999999
2025-10-31,2025-11-03,bear,11.900000000000002,close,True,675.0000000000002,555.0000000000002
2025-11-03,2025-11-04,bull,21.75,stop,True,-2854.6875,-2974.6875
2025-11-06,2025-11-07,bear,10.0,close,True,435.0,315.0
2025-11-07,2025-11-10,bull,26.15,close,True,1619.9999999999998,1499.9999999999998
