variant,trades,win%_net,gross_ret%,net_ret%,median_net,worst_night,best_night,gross_ex_worst5%,dropped
[exit@open] 0.5% short / 0.5% wing,210,26.2,38.9,-87.1,-461.0,-3386.0,21971.0,53.9,56
[exit@open] 1.0% short / 0.5% wing,210,13.3,-25.9,-151.9,-538.0,-20738.0,2936.0,8.7,46
[exit@open] 1.0% short / 1.0% wing,210,16.2,-31.5,-157.5,-512.0,-27589.0,4500.0,16.8,51
[exit@open] 1.5% short / 1.0% wing,210,13.3,-3.0,-129.0,-512.0,-9210.0,5093.0,29.8,48
[exit@open] 2.0% short / 1.0% wing,210,8.1,-16.1,-142.1,-531.0,-14936.0,2977.0,18.8,28
[exit@close] 0.5% short / 0.5% wing,210,42.4,-1.3,-127.3,-210.0,-8010.0,6135.0,34.3,56
[exit@close] 1.0% short / 0.5% wing,210,39.5,24.6,-101.4,-88.0,-9056.0,5216.0,58.0,46
[exit@close] 1.0% short / 1.0% wing,210,56.2,40.6,-85.4,161.0,-16298.0,7620.0,102.8,51
[exit@close] 1.5% short / 1.0% wing,210,38.6,41.9,-84.1,-107.0,-15896.0,4890.0,80.5,48
[exit@close] 2.0% short / 1.0% wing,210,23.3,46.2,-79.8,-319.0,-6608.0,3915.0,69.6,28
