strategy,trades,win_rate_pct,total_pnl_rs,total_return_pct,cagr_pct,max_drawdown_pct,avg_win_rs,avg_loss_rs,profit_factor,sharpe_like,period_days,base_strategy,entry_offset_days
FlowExpiry-pcr-Medium-off1,24,58.3,1001.0,1.0,0.9,-5.91,568.0,-694.0,1.14,0.14,391,FlowExpiry-pcr-Medium,1
FlowExpiry-pcr-Medium-off2,21,95.2,14224.0,14.22,16.0,-0.11,717.0,-116.0,123.35,4.35,328,FlowExpiry-pcr-Medium,2
FlowExpiry-pcr-Medium-off3,18,94.4,10215.0,10.22,10.1,-1.92,719.0,-2006.0,6.09,2.87,368,FlowExpiry-pcr-Medium,3
FlowExpiry-pcr-Medium-off4,14,92.9,13822.0,13.82,13.7,-2.33,1250.0,-2430.0,6.69,3.07,368,FlowExpiry-pcr-Medium,4
FlowExpiry-pcr-Wide-off1,24,50.0,5738.0,5.74,5.3,-2.02,654.0,-176.0,3.71,1.52,391,FlowExpiry-pcr-Wide,1
FlowExpiry-pcr-Wide-off2,21,71.4,11456.0,11.46,12.8,-0.23,794.0,-77.0,25.84,3.14,328,FlowExpiry-pcr-Wide,2
FlowExpiry-pcr-Wide-off3,18,77.8,7065.0,7.06,7.0,-1.33,608.0,-363.0,5.87,2.73,368,FlowExpiry-pcr-Wide,3
FlowExpiry-pcr-Wide-off4,14,92.9,11996.0,12.0,11.9,-0.97,1000.0,-1001.0,12.98,2.97,368,FlowExpiry-pcr-Wide,4
FlowExpiry-pcr-VeryWide-off1,24,20.8,1481.0,1.48,1.4,-2.77,954.0,-173.0,1.45,0.46,391,FlowExpiry-pcr-VeryWide,1
FlowExpiry-pcr-VeryWide-off2,21,38.1,5438.0,5.44,6.1,-1.29,897.0,-134.0,4.13,1.93,328,FlowExpiry-pcr-VeryWide,2
FlowExpiry-pcr-VeryWide-off3,18,55.6,2816.0,2.82,2.8,-0.57,376.0,-119.0,3.97,1.46,368,FlowExpiry-pcr-VeryWide,3
FlowExpiry-pcr-VeryWide-off4,14,71.4,5531.0,5.53,5.5,-0.15,584.0,-76.0,19.21,2.29,368,FlowExpiry-pcr-VeryWide,4
FlowExpiry-pcr-Tight-off1,24,66.7,1886.0,1.89,1.8,-7.89,666.0,-1095.0,1.22,0.2,391,FlowExpiry-pcr-Tight,1
FlowExpiry-pcr-Tight-off2,21,90.5,4916.0,4.92,5.5,-7.16,772.0,-4871.0,1.5,0.57,328,FlowExpiry-pcr-Tight,2
FlowExpiry-pcr-Tight-off3,18,88.9,8171.0,8.17,8.0,-6.47,936.0,-3401.0,2.2,1.28,371,FlowExpiry-pcr-Tight,3
FlowExpiry-pcr-Tight-off4,14,85.7,11858.0,11.86,11.8,-3.5,1524.0,-3216.0,2.84,1.74,368,FlowExpiry-pcr-Tight,4
FlowExpiry-oi_bias-Medium-off1,16,56.2,6518.0,6.52,7.1,-0.93,868.0,-185.0,6.04,1.85,335,FlowExpiry-oi_bias-Medium,1
FlowExpiry-oi_bias-Medium-off2,23,87.0,8419.0,8.42,9.2,-6.0,972.0,-3675.0,1.76,0.93,335,FlowExpiry-oi_bias-Medium,2
FlowExpiry-oi_bias-Medium-off3,16,81.2,-13538.0,-13.54,-14.9,-17.82,1161.0,-9545.0,0.53,-0.81,329,FlowExpiry-oi_bias-Medium,3
FlowExpiry-oi_bias-Medium-off4,21,81.0,5149.0,5.15,4.9,-11.25,1726.0,-6049.0,1.21,0.31,382,FlowExpiry-oi_bias-Medium,4
FlowExpiry-oi_bias-Wide-off1,16,50.0,3555.0,3.56,3.9,-1.42,657.0,-212.0,3.09,1.29,335,FlowExpiry-oi_bias-Wide,1
FlowExpiry-oi_bias-Wide-off2,23,73.9,3191.0,3.19,3.5,-7.56,928.0,-2098.0,1.25,0.32,335,FlowExpiry-oi_bias-Wide,2
FlowExpiry-oi_bias-Wide-off3,16,75.0,-11212.0,-11.21,-12.4,-16.96,1297.0,-6696.0,0.58,-0.6,329,FlowExpiry-oi_bias-Wide,3
FlowExpiry-oi_bias-Wide-off4,21,81.0,2816.0,2.82,2.7,-9.1,1472.0,-5554.0,1.13,0.18,382,FlowExpiry-oi_bias-Wide,4
