entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl,worst_adverse_move_pct
2025-09-26,2025-09-29,bull,6.0,1.6999999999999997,24300,24050,244.0,22.500000000000057,target,0.022500000000000055,22.500000000000057,0.02
2025-10-16,2025-10-20,bear,2.25,0.04999999999999999,26050,26300,247.75,-135.0,target,-0.135,-112.49999999999994,0.61
2025-10-24,2025-10-27,bull,6.6,1.35,25450,25150,293.4,93.75,target,0.09375,-18.749999999999943,-0.77
2026-01-02,2026-01-05,bear,0.3999999999999999,0.1499999999999999,26850,27100,249.6,-281.25,target,-0.28125,-299.99999999999994,-0.47
2026-01-09,2026-01-12,bull,8.649999999999999,2.15,25400,25150,241.35,187.4999999999999,target,0.1874999999999999,-112.50000000000006,-0.34
2026-01-22,2026-01-23,bear,9.6,2.1999999999999997,25750,26000,240.4,255.0,target,0.255,142.49999999999994,-1.07
2026-02-13,2026-02-16,bull,13.05,3.700000000000001,25150,24900,236.95,401.25,target,0.40124999999999994,543.75,-0.78
2026-03-06,2026-03-10,bull,55.25,1.8,24200,23950,194.75,3708.75,target,3.70875,4252.5,1.72
2026-03-13,2026-03-16,bull,56.89999999999999,14.850000000000001,22850,22600,193.10000000000002,2853.749999999999,target,2.853749999999999,7106.249999999999,-0.99
2026-03-25,2026-03-27,bear,61.650000000000006,9.7,23650,23900,188.35,3596.25,target,3.59625,10702.5,-2.07
2026-04-09,2026-04-10,bull,45.949999999999996,12.45,23500,23250,204.05,2212.5,target,2.2125,12915.0,-1.0
2026-04-17,2026-04-21,bear,19.650000000000002,0.04999999999999999,24750,25000,230.35,1170.0,target,1.17,14085.0,1.04
2026-04-24,2026-04-27,bull,31.9,2.1999999999999997,23550,23300,218.1,1927.5,target,1.9275,16012.5,-0.82
2026-04-30,2026-05-04,bull,42.75000000000001,6.8999999999999995,23750,23500,207.25,2388.7500000000005,target,2.388750000000001,18401.25,-0.45
2026-05-08,2026-05-11,bull,19.400000000000002,64.8,23850,23650,180.6,-3704.9999999999995,stop_loss,-3.704999999999999,14696.25,1.51
2026-05-29,2026-06-02,bull,27.700000000000003,0.85,23400,23150,222.3,1713.75,target,1.71375,16410.0,1.21
2026-06-12,2026-06-16,bear,16.15,0.15,24050,24300,233.85,899.9999999999998,target,0.8999999999999998,17310.0,0.97
2026-07-10,2026-07-13,bear,5.050000000000001,1.9,24600,24850,244.95,-63.74999999999994,target,-0.06374999999999995,17246.25,0.0
