entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-07-15,2025-07-16,bear,0.75,0.15000000000000002,25900,26300,399.25,-255.0,target,-0.255,-255.0
2025-07-22,2025-07-24,bear,0.8499999999999999,0.0,25700,26100,399.15,-236.25,target,-0.23625000000000002,-491.25
2025-08-19,2025-08-20,bull,1.2,0.5999999999999999,24400,24050,348.8,-255.0,target,-0.255,-746.25
2025-08-25,2025-08-28,bear,0.8499999999999999,0.0,25600,26000,399.15,-236.25,target,-0.23625000000000002,-982.5
2025-09-05,2025-09-08,bull,2.8,1.0,24250,23850,397.2,-165.0,target,-0.165,-1147.5
2025-09-12,2025-09-15,bull,1.7000000000000002,0.7999999999999998,24550,24200,348.3,-232.49999999999997,target,-0.23249999999999998,-1380.0
2025-09-19,2025-09-23,bull,1.2000000000000002,0.0,24800,24400,398.8,-210.0,target,-0.21,-1590.0
2025-09-26,2025-09-29,bear,2.25,0.95,25300,25700,397.75,-202.5,target,-0.20249999999999999,-1792.5
2025-10-10,2025-10-14,bull,1.7499999999999996,0.0,24800,24400,398.25,-168.75000000000003,target,-0.16875,-1961.25
2025-10-24,2025-10-28,bear,3.1500000000000004,0.0,26450,26850,396.85,-63.74999999999997,target,-0.06374999999999997,-2025.0
2025-11-07,2025-11-10,bear,0.8,0.3999999999999999,26250,26600,349.2,-270.0,target,-0.27,-2295.0
2025-11-14,2025-11-17,bull,2.3000000000000003,0.8999999999999999,25300,24900,397.7,-194.99999999999997,target,-0.19499999999999998,-2490.0
2025-11-21,2025-11-24,bull,2.25,0.75,25450,25050,397.75,-187.5,target,-0.1875,-2677.5
2025-12-05,2025-12-09,bull,1.4000000000000004,0.04999999999999999,25650,25300,348.6,-198.74999999999997,target,-0.19874999999999998,-2876.25
2025-12-19,2025-12-23,bull,1.3999999999999995,-0.05,25400,25000,398.6,-191.25000000000006,target,-0.19125000000000006,-3067.5
2026-01-09,2026-01-12,bear,2.3,0.6499999999999999,26450,26800,347.7,-176.25,target,-0.17625,-3243.75
2026-01-16,2026-01-19,bear,1.35,0.4,26400,26800,398.65,-228.75,target,-0.22875,-3472.5
2026-02-13,2026-02-17,bear,5.750000000000001,0.05,26150,26550,394.25,127.50000000000006,target,0.12750000000000006,-3345.0
2026-02-20,2026-02-23,bear,4.800000000000001,2.35,26200,26600,395.2,-116.24999999999994,target,-0.11624999999999995,-3461.25
2026-02-26,2026-03-02,bear,1.9500000000000002,-0.05,26300,26650,348.05,-150.0,target,-0.15,-3611.25
2026-04-09,2026-04-10,bull,27.1,5.6,23250,22900,322.9,1312.5,target,1.3125,-2298.75
2026-04-17,2026-04-21,bull,14.2,0.05,23750,23400,335.8,761.25,target,0.76125,-1537.5
2026-04-24,2026-04-27,bear,18.1,8.9,24500,24900,381.9,390.0000000000001,target,0.3900000000000001,-1147.5
2026-04-30,2026-05-04,bear,13.45,4.25,24700,25050,336.55,390.0,target,0.38999999999999996,-757.5
2026-05-08,2026-05-11,bull,9.7,26.9,23650,23250,390.3,-1590.0,stop_loss,-1.59,-2347.5
2026-05-22,2026-05-25,bull,7.75,0.8500000000000001,23150,22800,342.25,217.5,target,0.21749999999999997,-2130.0
2026-06-05,2026-06-08,bear,8.350000000000001,0.7,24050,24400,341.65,273.7500000000001,target,0.2737500000000001,-1856.25
2026-06-19,2026-06-22,bull,2.6,0.55,23450,23100,347.4,-146.25,target,-0.14625,-2002.5
2026-06-25,2026-06-29,bear,2.2,0.75,24700,25050,347.8,-191.25,target,-0.19125,-2193.75
2026-07-03,2026-07-06,bull,3.2499999999999996,0.8499999999999999,23750,23400,346.75,-120.00000000000003,target,-0.12000000000000004,-2313.75
