entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-07-01,2025-07-03,bull,16.5,0.19999999999999998,25350,25150,183.5,922.5,target,0.9225000000000001,922.5
2025-07-08,2025-07-10,bull,12.7,0.7,25300,25100,187.3,600.0,target,0.6,1522.5
2025-08-05,2025-08-06,bear,6.3999999999999995,1.75,25000,25200,193.6,48.74999999999994,target,0.048749999999999946,1571.25
2025-08-12,2025-08-14,bear,5.4,0.04999999999999999,24850,25050,194.6,101.25000000000006,target,0.10125000000000006,1672.5
2025-08-29,2025-09-01,bull,14.05,1.2999999999999998,24250,24100,135.95,656.25,target,0.65625,2328.75
2025-09-05,2025-09-08,bull,14.899999999999999,5.65,24550,24350,185.1,393.7499999999999,target,0.39374999999999993,2722.5
2025-10-03,2025-10-06,bull,11.399999999999999,1.0499999999999998,24700,24500,188.6,476.2499999999999,target,0.47624999999999984,3198.75
2025-10-31,2025-11-03,bear,8.149999999999999,1.6999999999999997,26200,26400,191.85,183.74999999999994,target,0.18374999999999994,3382.5
2025-11-07,2025-11-11,bear,3.9000000000000004,0.0,25900,26100,196.1,-7.5,target,-0.0075,3375.0
2025-11-14,2025-11-18,bear,11.349999999999998,0.04999999999999999,26250,26450,188.65,547.4999999999998,target,0.5474999999999998,3922.5
2025-12-12,2025-12-16,bull,12.8,0.24999999999999997,25850,25600,237.2,641.25,target,0.64125,4563.75
2026-01-09,2026-01-13,bear,6.250000000000001,0.0,26100,26300,193.75,168.75000000000006,target,0.16875000000000007,4732.5
2026-01-30,2026-02-02,bear,32.5,0.8,25700,25900,167.5,2077.5,target,2.0774999999999997,6810.0
2026-02-06,2026-02-09,bull,18.8,3.75,25450,25200,231.2,828.75,target,0.82875,7638.75
2026-02-13,2026-02-17,bear,9.9,0.15,25850,26050,190.1,431.25,target,0.43125,8070.0
2026-02-26,2026-02-27,bull,37.150000000000006,111.75,25350,25100,212.85,-5895.0,stop_loss,-5.8950000000000005,2175.0
2026-03-06,2026-03-09,bear,37.1,4.949999999999999,24850,25050,162.9,2111.2500000000005,target,2.1112500000000005,4286.25
2026-03-13,2026-03-17,bear,36.3,0.0,23500,23650,113.7,2422.5,expiry,2.4225,6708.75
2026-03-20,2026-03-23,bull,38.3,102.60000000000002,22850,22700,111.7,-5122.500000000002,stop_loss,-5.122500000000002,1586.2499999999982
2026-04-02,2026-04-07,bear,41.3,0.0,23050,23200,108.7,2797.5,expiry,2.7975,4383.749999999998
2026-04-30,2026-05-05,bear,30.15,0.05,24400,24600,169.85,1957.5,target,1.9574999999999998,6341.249999999998
2026-05-08,2026-05-11,bear,19.049999999999997,1.2499999999999996,24550,24700,130.95,1034.9999999999998,target,1.0349999999999997,7376.249999999998
2026-05-29,2026-06-01,bear,19.55,1.65,24050,24200,130.45,1042.5000000000002,target,1.0425000000000002,8418.749999999998
