entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-07-01,2025-07-03,bull,5.25,0.0,25150,24800,344.75,93.75,target,0.09375,93.75
2025-07-08,2025-07-10,bull,4.550000000000001,0.04999999999999999,25100,24800,295.45,37.50000000000006,target,0.037500000000000054,131.25000000000006
2025-08-05,2025-08-06,bear,1.5999999999999999,0.5000000000000001,25200,25500,298.4,-217.50000000000003,target,-0.21750000000000003,-86.24999999999997
2025-08-12,2025-08-14,bear,1.3,0.05,25050,25350,298.7,-206.25,target,-0.20625000000000002,-292.5
2025-08-29,2025-09-01,bull,6.999999999999999,0.8500000000000001,24100,23800,293.0,161.2499999999999,target,0.1612499999999999,-131.2500000000001
2025-09-05,2025-09-08,bull,4.25,1.7,24350,24050,295.75,-108.75,target,-0.10874999999999999,-240.0000000000001
2025-10-03,2025-10-06,bull,3.7,0.9000000000000004,24500,24200,296.3,-90.0,target,-0.09,-330.0000000000001
2025-10-31,2025-11-03,bear,3.3000000000000003,0.9000000000000001,26400,26750,346.7,-119.99999999999997,target,-0.11999999999999997,-450.0000000000001
2025-11-07,2025-11-11,bear,1.15,0.05,26100,26400,298.85,-217.5,target,-0.21749999999999997,-667.5000000000001
2025-11-14,2025-11-17,bear,3.55,0.85,26450,26800,346.45,-97.50000000000003,target,-0.09750000000000003,-765.0000000000001
2025-12-12,2025-12-16,bull,2.45,0.0,25600,25300,297.55,-116.25,target,-0.11624999999999999,-881.2500000000001
2026-01-09,2026-01-12,bear,3.75,1.3000000000000003,26300,26600,296.25,-116.25000000000003,target,-0.11625000000000003,-997.5000000000001
2026-01-30,2026-02-02,bear,23.6,0.55,25900,26250,326.4,1428.75,target,1.42875,431.2499999999999
2026-02-06,2026-02-10,bull,5.6,0.0,25200,24900,294.4,120.0,target,0.12,551.2499999999999
2026-02-13,2026-02-17,bear,6.5,0.0,26050,26350,293.5,187.5,target,0.1875,738.7499999999999
2026-02-26,2026-02-27,bull,12.700000000000001,47.8,25100,24800,287.3,-2932.4999999999995,stop_loss,-2.9324999999999997,-2193.7499999999995
2026-03-06,2026-03-09,bear,23.05,3.3500000000000005,25050,25350,276.95,1177.5,target,1.1775,-1016.2499999999995
2026-03-13,2026-03-17,bear,36.45,1.7999999999999998,23650,23950,263.55,2298.7500000000005,target,2.2987500000000005,1282.500000000001
2026-03-20,2026-03-23,bull,47.300000000000004,145.7,22700,22400,252.7,-7679.999999999998,stop_loss,-7.679999999999998,-6397.499999999997
2026-04-02,2026-04-07,bear,46.199999999999996,0.24999999999999997,23200,23500,253.8,3146.2499999999995,target,3.1462499999999998,-3251.2499999999977
2026-04-30,2026-05-04,bear,16.700000000000003,6.6499999999999995,24600,24850,233.3,453.75000000000034,target,0.4537500000000003,-2797.4999999999973
2026-05-08,2026-05-11,bear,13.850000000000001,1.1,24700,25000,286.15,656.2500000000001,target,0.6562500000000001,-2141.2499999999973
2026-05-29,2026-06-01,bear,14.2,1.6,24200,24500,285.8,645.0,target,0.645,-1496.2499999999973
