entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-07-22,2025-07-24,bear,4.050000000000001,0.04999999999999999,25400,25600,195.95,5.684341886080802e-14,target,5.684341886080802e-17,5.684341886080802e-14
2025-08-12,2025-08-14,bear,5.4,0.04999999999999999,24850,25050,194.6,101.25000000000006,target,0.10125000000000006,101.25000000000011
2025-08-29,2025-09-02,bear,4.65,0.04999999999999999,24850,25050,195.35,45.00000000000006,target,0.04500000000000006,146.25000000000017
2025-09-12,2025-09-16,bull,9.85,0.0,24900,24700,190.15,438.75,target,0.43875,585.0000000000002
2025-09-26,2025-09-29,bear,8.9,1.85,25000,25200,191.1,228.75,target,0.22875,813.7500000000002
2025-10-10,2025-10-14,bull,9.1,0.15,25100,24900,190.9,371.25,target,0.37125,1185.0000000000002
2025-10-16,2025-10-17,bull,14.099999999999998,4.65,25350,25150,185.9,408.7499999999998,target,0.4087499999999997,1593.75
2025-10-24,2025-10-28,bear,12.7,0.09999999999999998,26100,26350,237.3,645.0,target,0.645,2238.75
2025-10-31,2025-11-03,bear,8.149999999999999,1.6999999999999997,26200,26400,191.85,183.74999999999994,target,0.18374999999999994,2422.5
2025-12-26,2025-12-29,bear,3.55,1.0999999999999999,26350,26600,246.45,-116.25,target,-0.11624999999999999,2306.25
2026-01-02,2026-01-06,bull,12.299999999999999,0.4,26150,25950,187.7,592.4999999999999,target,0.5924999999999999,2898.75
2026-01-09,2026-01-13,bear,6.250000000000001,0.0,26100,26300,193.75,168.75000000000006,target,0.16875000000000007,3067.5
2026-01-16,2026-01-19,bear,9.75,0.7999999999999998,26050,26250,190.25,371.25,target,0.37125,3438.75
2026-02-13,2026-02-17,bear,9.9,0.15,25850,26050,190.1,431.25,target,0.43125,3870.0
2026-02-26,2026-02-27,bear,6.550000000000001,1.9,25950,26150,193.45,48.75,target,0.048749999999999995,3918.75
2026-03-06,2026-03-09,bear,37.1,4.949999999999999,24850,25050,162.9,2111.2500000000005,target,2.1112500000000005,6030.0
2026-03-13,2026-03-17,bear,36.3,0.0,23500,23650,113.7,2422.5,expiry,2.4225,8452.5
2026-04-24,2026-04-28,bear,34.0,0.04999999999999999,24200,24400,166.0,2246.25,target,2.24625,10698.75
2026-05-29,2026-06-01,bear,19.55,1.65,24050,24200,130.45,1042.5000000000002,target,1.0425000000000002,11741.25
2026-06-05,2026-06-08,bear,16.800000000000004,1.1500000000000004,23750,23900,133.2,873.7500000000002,target,0.8737500000000002,12615.0
2026-06-12,2026-06-15,bull,27.900000000000002,2.45,23400,23200,172.1,1608.7500000000002,target,1.6087500000000001,14223.75
