entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-07-22,2025-07-24,bear,5.35,0.0,25350,25500,144.65,101.25,target,0.10124999999999999,101.25
2025-08-12,2025-08-14,bear,7.15,0.04999999999999999,24800,24950,142.85,232.5,target,0.23249999999999998,333.75
2025-08-29,2025-09-02,bear,6.65,0.04999999999999999,24800,25000,193.35,195.00000000000006,target,0.19500000000000006,528.75
2025-09-12,2025-09-16,bull,12.049999999999999,0.04999999999999999,24950,24800,137.95,599.9999999999999,target,0.6,1128.75
2025-09-26,2025-09-29,bear,10.05,2.25,24950,25100,139.95,285.0,target,0.28500000000000003,1413.75
2025-10-10,2025-10-14,bull,11.349999999999998,2.35,25150,25000,138.65,374.9999999999999,target,0.3749999999999999,1788.75
2025-10-16,2025-10-17,bull,18.45,6.8999999999999995,25400,25200,181.55,566.25,target,0.56625,2355.0
2025-10-24,2025-10-27,bear,15.75,40.800000000000004,26050,26250,184.25,-2178.75,stop_loss,-2.17875,176.25
2025-10-31,2025-11-03,bear,10.700000000000001,2.6999999999999997,26150,26350,189.3,300.0000000000001,target,0.3000000000000001,476.2500000000001
2025-12-26,2025-12-29,bear,6.0,1.2000000000000002,26300,26500,194.0,60.0,target,0.06,536.2500000000001
2026-01-02,2026-01-06,bull,18.7,0.0,26200,26000,181.3,1102.5,expiry,1.1025,1638.75
2026-01-09,2026-01-13,bear,8.150000000000002,0.04999999999999999,26050,26250,191.85,307.5000000000001,target,0.3075000000000001,1946.25
2026-01-16,2026-01-19,bear,14.2,1.15,26000,26200,185.8,678.7499999999999,target,0.67875,2625.0
2026-02-13,2026-02-17,bear,16.7,1.3499999999999999,25750,25950,183.3,851.25,target,0.85125,3476.25
2026-02-26,2026-02-27,bear,7.550000000000001,1.5,25900,26050,142.45,153.75000000000006,target,0.15375000000000005,3630.0
2026-03-06,2026-03-09,bear,35.35,4.450000000000001,24800,24950,114.65,2017.5,target,2.0175,5647.5
2026-03-13,2026-03-17,bear,40.95,137.8,23450,23600,109.05,-7563.750000000001,stop_loss,-7.563750000000001,-1916.250000000001
2026-04-24,2026-04-28,bear,40.95,0.04999999999999999,24150,24350,159.05,2767.5000000000005,target,2.7675000000000005,851.2499999999995
2026-05-29,2026-06-01,bear,24.000000000000004,2.0,24000,24150,126.0,1350.0000000000002,target,1.35,2201.25
2026-06-05,2026-06-08,bear,19.65,1.4999999999999996,23700,23850,130.35,1061.25,target,1.06125,3262.5
2026-06-12,2026-06-15,bull,28.4,2.3499999999999996,23450,23300,121.6,1653.7499999999998,target,1.6537499999999996,4916.25
