entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-07-22,2025-07-24,bear,1.05,0.0,25600,25900,298.95,-221.25,target,-0.22125,-221.25
2025-08-12,2025-08-14,bear,1.3,0.05,25050,25350,298.7,-206.25,target,-0.20625000000000002,-427.5
2025-08-29,2025-09-01,bear,1.6999999999999997,0.65,25050,25350,298.3,-221.25,target,-0.22125,-648.75
2025-09-12,2025-09-16,bull,3.3500000000000005,0.0,24700,24400,296.65,-48.74999999999997,target,-0.048749999999999974,-697.5
2025-09-26,2025-09-29,bear,3.1000000000000005,0.8999999999999999,25200,25500,296.9,-134.99999999999994,target,-0.13499999999999995,-832.5
2025-10-10,2025-10-14,bull,2.6000000000000005,0.0,24900,24600,297.4,-104.99999999999997,target,-0.10499999999999997,-937.5
2025-10-16,2025-10-20,bull,6.15,0.05,25150,24850,293.85,157.50000000000006,target,0.15750000000000006,-780.0
2025-10-24,2025-10-28,bear,3.75,0.1,26350,26650,296.25,-26.25,target,-0.02625,-806.25
2025-10-31,2025-11-03,bear,3.3000000000000003,0.9000000000000001,26400,26750,346.7,-119.99999999999997,target,-0.11999999999999997,-926.25
2025-12-26,2025-12-29,bear,0.8500000000000001,0.30000000000000004,26600,26900,299.15,-258.75,target,-0.25875,-1185.0
2026-01-02,2026-01-06,bull,3.2499999999999996,0.0,25950,25600,346.75,-56.25000000000003,target,-0.05625000000000003,-1241.25
2026-01-09,2026-01-12,bear,3.75,1.3000000000000003,26300,26600,296.25,-116.25000000000003,target,-0.11625000000000003,-1357.5
2026-01-16,2026-01-19,bear,2.5,0.44999999999999996,26250,26600,347.5,-146.25,target,-0.14625,-1503.75
2026-02-13,2026-02-17,bear,6.5,0.0,26050,26350,293.5,187.5,target,0.1875,-1316.25
2026-02-26,2026-03-02,bear,2.9999999999999996,0.0,26150,26450,297.0,-75.00000000000003,target,-0.07500000000000002,-1391.25
2026-03-06,2026-03-09,bear,23.05,3.3500000000000005,25050,25350,276.95,1177.5,target,1.1775,-213.75
2026-03-13,2026-03-17,bear,36.45,1.7999999999999998,23650,23950,263.55,2298.7500000000005,target,2.2987500000000005,2085.0000000000005
2026-04-24,2026-04-28,bear,22.7,0.0,24400,24700,277.3,1402.5,target,1.4024999999999999,3487.5000000000005
2026-05-29,2026-06-01,bear,14.2,1.6,24200,24500,285.8,645.0,target,0.645,4132.5
2026-06-05,2026-06-08,bear,14.2,0.9999999999999998,23900,24200,285.8,690.0,target,0.69,4822.5
2026-06-12,2026-06-15,bull,13.35,1.1500000000000004,23200,22950,236.65,615.0,target,0.615,5437.5
