entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-16,2025-06-17,bull,25.299999999999997,24.800000000000004,24700,24500,174.7,-262.5000000000005,next_open,-0.2625000000000005,-262.5000000000005
2025-06-17,2025-06-18,bull,16.900000000000002,16.799999999999997,24550,24350,183.1,-292.4999999999996,next_open,-0.2924999999999996,-555.0000000000001
2025-06-18,2025-06-19,bull,13.000000000000002,9.7,24550,24350,187.0,-52.4999999999998,next_open,-0.052499999999999804,-607.4999999999999
2025-06-20,2025-06-23,bull,24.75,35.35,24800,24600,175.25,-1095.0,next_open,-1.095,-1702.5
2025-06-23,2025-06-24,bull,22.650000000000002,18.700000000000003,24700,24500,177.35,-3.750000000000057,next_open,-0.0037500000000000567,-1706.25
2025-06-25,2025-06-26,bull,7.8999999999999995,7.05,24950,24750,192.1,-236.25000000000003,next_open,-0.23625000000000004,-1942.5
2025-06-27,2025-06-30,bull,33.15,33.45,25450,25250,166.85,-322.50000000000034,next_open,-0.32250000000000034,-2265.0000000000005
2025-06-30,2025-07-01,bull,28.85,23.75,25300,25100,171.15,82.50000000000011,next_open,0.08250000000000011,-2182.5000000000005
2025-07-01,2025-07-02,bull,16.5,11.5,25350,25150,183.5,75.0,next_open,0.075,-2107.5000000000005
2025-07-02,2025-07-03,bull,10.4,4.55,25250,25050,189.6,138.75000000000006,next_open,0.13875000000000004,-1968.7500000000005
2025-07-04,2025-07-07,bull,31.449999999999996,26.749999999999996,25250,25050,168.55,52.49999999999994,next_open,0.05249999999999994,-1916.2500000000005
2025-07-07,2025-07-08,bull,24.6,34.05,25250,25050,175.4,-1008.7499999999997,next_open,-1.0087499999999996,-2925.0
2025-07-08,2025-07-09,bull,12.7,8.75,25300,25100,187.3,-3.750000000000057,next_open,-0.0037500000000000567,-2928.75
2025-07-09,2025-07-10,bull,7.6,4.300000000000001,25250,25050,192.4,-52.500000000000085,next_open,-0.05250000000000008,-2981.25
2025-07-11,2025-07-14,bull,18.900000000000002,23.15,24900,24700,181.1,-618.7499999999998,next_open,-0.6187499999999998,-3600.0
2025-07-14,2025-07-15,bull,15.350000000000001,10.6,24850,24650,184.65,56.250000000000114,next_open,0.05625000000000011,-3543.75
2025-07-15,2025-07-16,bull,8.05,6.25,24950,24750,191.95,-164.99999999999994,next_open,-0.16499999999999992,-3708.75
2025-07-16,2025-07-17,bull,4.25,2.5999999999999996,24950,24750,195.75,-176.24999999999997,next_open,-0.17624999999999996,-3885.0
2025-07-18,2025-07-21,bull,22.55,15.399999999999999,24750,24550,177.45,236.2500000000001,next_open,0.23625000000000013,-3648.75
2025-07-21,2025-07-22,bull,13.899999999999999,10.1,24850,24650,186.1,-15.000000000000057,next_open,-0.015000000000000055,-3663.75
2025-07-22,2025-07-23,bull,6.700000000000001,5.050000000000001,24800,24600,193.3,-176.24999999999997,next_open,-0.17624999999999996,-3840.0
2025-07-23,2025-07-24,bull,2.85,1.2,24950,24750,197.15,-176.25,next_open,-0.17625,-4016.25
2025-07-28,2025-07-29,bear,16.45,15.3,25000,25200,183.55,-213.7500000000001,next_open,-0.2137500000000001,-4230.0
2025-08-01,2025-08-04,bull,35.3,34.2,24350,24150,164.7,-217.50000000000043,next_open,-0.21750000000000042,-4447.5
2025-08-04,2025-08-05,bull,24.9,15.0,24500,24300,175.1,442.4999999999999,next_open,0.44249999999999995,-4005.0
2025-08-05,2025-08-06,bull,14.0,16.2,24400,24200,186.0,-464.99999999999994,next_open,-0.46499999999999997,-4470.0
2025-08-06,2025-08-07,bull,9.55,13.100000000000001,24350,24150,190.45,-566.25,next_open,-0.56625,-5036.25
2025-08-08,2025-08-11,bull,26.650000000000002,29.200000000000003,24150,23950,173.35,-491.25000000000006,next_open,-0.49125,-5527.5
2025-08-11,2025-08-12,bull,19.949999999999996,23.099999999999998,24350,24150,180.05,-536.2500000000002,next_open,-0.5362500000000002,-6063.75
2025-08-12,2025-08-13,bull,10.4,5.0,24250,24050,189.6,105.0,next_open,0.105,-5958.75
2025-08-13,2025-08-14,bull,5.55,6.6,24400,24200,194.45,-378.75,next_open,-0.37875000000000003,-6337.5
2025-08-18,2025-08-19,bull,15.75,11.25,24650,24450,184.25,37.5,next_open,0.0375,-6300.0
2025-08-19,2025-08-20,bull,9.049999999999999,10.85,24750,24550,190.95,-435.00000000000006,next_open,-0.43500000000000005,-6735.0
2025-08-20,2025-08-21,bull,4.75,3.3499999999999996,24800,24600,195.25,-194.99999999999997,next_open,-0.19499999999999998,-6930.0
2025-08-25,2025-08-26,bull,6.5,5.950000000000001,24700,24500,193.5,-258.75000000000006,next_open,-0.25875000000000004,-7188.75
2025-08-29,2025-09-01,bull,14.05,10.999999999999998,24250,24100,135.95,-71.2499999999998,next_open,-0.0712499999999998,-7260.0
2025-09-01,2025-09-02,bull,7.8,2.95,24450,24250,192.2,63.75,next_open,0.06375,-7196.25
2025-09-03,2025-09-04,bull,22.4,7.0,24500,24300,177.6,855.0,next_open,0.855,-6341.25
2025-09-04,2025-09-05,bull,21.349999999999998,22.0,24550,24350,178.65,-348.75000000000017,next_open,-0.34875000000000017,-6690.0
2025-09-05,2025-09-08,bull,14.899999999999999,8.45,24550,24350,185.1,183.74999999999994,next_open,0.18374999999999994,-6506.25
2025-09-08,2025-09-09,bull,8.15,3.1500000000000004,24600,24400,191.85,75.0,next_open,0.075,-6431.25
