entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-30,2025-07-01,bull,32.25,22.25,25300,25050,217.75,450.0,next_open,0.44999999999999996,450.0
2025-07-01,2025-07-02,bull,11.600000000000001,7.2,25300,25100,188.4,30.000000000000114,next_open,0.03000000000000011,480.0000000000001
2025-07-02,2025-07-03,bull,6.65,3.55,25200,25000,193.35,-67.49999999999997,next_open,-0.06749999999999998,412.5000000000001
2025-07-04,2025-07-07,bull,24.3,37.5,25200,25000,175.7,-1290.0,next_open,-1.29,-877.4999999999999
2025-07-07,2025-07-08,bull,18.849999999999998,20.65,25200,25000,181.15,-435.00000000000006,next_open,-0.43500000000000005,-1312.5
2025-07-08,2025-07-09,bull,13.95,12.55,25300,25050,236.05,-195.0000000000001,next_open,-0.19500000000000012,-1507.5
2025-07-09,2025-07-10,bull,8.25,4.6000000000000005,25250,25000,241.75,-26.250000000000057,next_open,-0.026250000000000058,-1533.75
2025-07-11,2025-07-14,bear,16.2,15.15,25550,25800,233.8,-221.25000000000009,next_open,-0.22125000000000009,-1755.0
2025-07-14,2025-07-15,bear,10.1,9.1,25500,25700,189.9,-225.0,next_open,-0.22499999999999998,-1980.0
2025-07-15,2025-07-16,bear,3.8000000000000003,3.3000000000000003,25600,25800,196.2,-262.5,next_open,-0.2625,-2242.5
2025-07-16,2025-07-17,bear,2.5,1.7,25550,25800,247.5,-240.0,next_open,-0.24,-2482.5
2025-07-18,2025-07-21,bear,19.05,23.9,25350,25600,230.95,-663.7499999999998,next_open,-0.6637499999999997,-3146.25
2025-07-21,2025-07-22,bear,9.899999999999999,8.899999999999999,25450,25700,240.1,-225.0,next_open,-0.22499999999999998,-3371.25
2025-07-22,2025-07-23,bear,4.3500000000000005,5.550000000000001,25400,25650,245.65,-390.0,next_open,-0.38999999999999996,-3761.25
2025-07-23,2025-07-24,bear,0.75,0.35,25600,25800,199.25,-270.0,next_open,-0.27,-4031.25
2025-07-25,2025-07-28,bear,21.6,14.05,25150,25400,228.4,266.25,next_open,0.26625,-3765.0
2025-07-28,2025-07-29,bear,13.05,6.1,25050,25250,186.95,221.2500000000001,next_open,0.22125000000000009,-3543.75
2025-07-29,2025-07-30,bear,9.0,9.15,25150,25400,241.0,-311.25,next_open,-0.31124999999999997,-3855.0
2025-07-30,2025-07-31,bear,2.95,0.5,25200,25400,197.05,-116.25,next_open,-0.11624999999999999,-3971.25
2025-08-01,2025-08-04,bear,18.95,21.0,24950,25150,181.05,-453.75000000000006,next_open,-0.4537500000000001,-4425.0
2025-08-04,2025-08-05,bear,12.15,8.95,25100,25350,237.85,-59.999999999999915,next_open,-0.05999999999999992,-4485.0
2025-08-05,2025-08-06,bear,4.25,4.3,25050,25250,195.75,-303.75,next_open,-0.30374999999999996,-4788.75
2025-08-06,2025-08-07,bear,2.7499999999999996,1.35,24950,25200,247.25,-195.00000000000006,next_open,-0.19500000000000006,-4983.75
2025-08-08,2025-08-11,bear,19.8,22.45,24750,25000,230.2,-498.7499999999999,next_open,-0.4987499999999999,-5482.5
2025-08-11,2025-08-12,bear,8.2,5.25,24950,25150,191.8,-78.75000000000006,next_open,-0.07875000000000006,-5561.25
2025-08-12,2025-08-13,bear,5.9,8.0,24850,25100,244.1,-457.5,next_open,-0.4575,-6018.75
2025-08-13,2025-08-14,bear,0.7,0.40000000000000013,25050,25250,199.3,-277.5,next_open,-0.2775,-6296.25
2025-08-18,2025-08-19,bull,17.75,12.6,24650,24400,232.25,86.25,next_open,0.08625,-6210.0
2025-08-19,2025-08-20,bull,6.15,8.05,24700,24500,193.85,-442.5,next_open,-0.4425,-6652.5
2025-08-20,2025-08-21,bull,3.2,1.5500000000000003,24750,24550,196.8,-176.25,next_open,-0.17625,-6828.75
2025-08-22,2025-08-25,bull,12.4,3.1499999999999986,24550,24350,187.6,393.7500000000001,next_open,0.3937500000000001,-6435.0
2025-08-25,2025-08-26,bull,4.300000000000001,4.449999999999999,24650,24450,195.7,-311.2499999999999,next_open,-0.3112499999999999,-6746.25
2025-08-26,2025-08-28,bull,3.9000000000000004,2.45,24400,24200,196.1,-191.25,next_open,-0.19125,-6937.5
2025-08-29,2025-09-01,bear,3.25,3.65,24900,25100,196.75,-330.0,next_open,-0.33,-7267.5
2025-09-01,2025-09-02,bull,8.45,3.1,24450,24200,241.55,101.25,next_open,0.10124999999999999,-7166.25
2025-09-03,2025-09-04,bear,6.85,44.4,25150,25350,193.15,-3116.25,next_open,-3.11625,-10282.5
2025-09-04,2025-09-05,bear,6.15,5.25,25150,25350,193.85,-232.49999999999997,next_open,-0.23249999999999998,-10515.0
2025-09-05,2025-09-08,bear,3.9000000000000004,4.25,25150,25400,246.1,-326.25,next_open,-0.32625000000000004,-10841.25
2025-09-08,2025-09-09,bear,1.1,1.0,25200,25450,248.9,-292.5,next_open,-0.2925,-11133.75
2025-09-10,2025-09-11,bull,19.7,21.4,24750,24500,230.3,-427.49999999999994,next_open,-0.42749999999999994,-11561.25
2025-09-11,2025-09-12,bull,16.6,10.0,24800,24550,233.4,195.0000000000001,next_open,0.19500000000000012,-11366.25
2025-09-12,2025-09-15,bull,10.75,10.8,24900,24650,239.25,-303.75000000000006,next_open,-0.3037500000000001,-11670.0
2025-09-15,2025-09-16,bull,4.1000000000000005,3.25,24850,24600,245.9,-236.24999999999994,next_open,-0.23624999999999996,-11906.25
2025-09-17,2025-09-18,bull,16.9,5.449999999999999,25100,24850,233.1,558.75,next_open,0.55875,-11347.5
2025-09-18,2025-09-19,bull,9.7,12.950000000000001,25200,24950,240.3,-543.7500000000001,next_open,-0.5437500000000002,-11891.25
2025-09-19,2025-09-22,bull,7.6000000000000005,12.350000000000001,25100,24850,242.4,-656.25,next_open,-0.65625,-12547.5
2025-09-22,2025-09-23,bull,3.5000000000000004,2.15,24950,24700,246.5,-198.74999999999994,next_open,-0.19874999999999993,-12746.25
2025-09-24,2025-09-25,bull,14.8,14.75,24800,24550,235.2,-296.24999999999994,next_open,-0.29624999999999996,-13042.5
2025-09-25,2025-09-26,bear,9.2,5.799999999999999,25300,25500,190.8,-44.99999999999997,next_open,-0.04499999999999997,-13087.5
2025-09-26,2025-09-29,bear,9.65,6.45,25000,25250,240.35,-60.0,next_open,-0.06,-13147.5
2025-09-29,2025-09-30,bear,2.1,2.4,25000,25250,247.9,-322.5,next_open,-0.3225,-13470.0
2025-10-01,2025-10-03,bear,2.75,1.35,25300,25500,197.25,-195.0,next_open,-0.19499999999999998,-13665.0
