entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-07-25,2025-07-28,bear,19.050000000000004,11.4,25150,25350,180.95,273.75000000000034,next_open,0.2737500000000003,273.75000000000034
2025-07-28,2025-07-29,bear,16.45,15.3,25000,25200,183.55,-213.7500000000001,next_open,-0.2137500000000001,60.00000000000023
2025-07-29,2025-07-30,bear,8.25,8.65,25150,25350,191.75,-330.0,next_open,-0.33,-269.9999999999998
2025-07-30,2025-07-31,bull,3.45,18.55,24550,24350,196.55,-1432.5,next_open,-1.4324999999999999,-1702.4999999999998
2025-08-01,2025-08-04,bear,23.550000000000004,28.25,24900,25100,176.45,-652.4999999999997,next_open,-0.6524999999999997,-2354.9999999999995
2025-08-04,2025-08-05,bear,11.05,9.45,25100,25300,188.95,-179.9999999999999,next_open,-0.17999999999999988,-2534.9999999999995
2025-08-05,2025-08-06,bear,6.3999999999999995,6.5,25000,25200,193.6,-307.50000000000006,next_open,-0.30750000000000005,-2842.4999999999995
2025-08-06,2025-08-07,bull,9.55,13.100000000000001,24350,24150,190.45,-566.25,next_open,-0.56625,-3408.7499999999995
2025-08-08,2025-08-11,bear,17.75,18.4,24750,24950,182.25,-348.7499999999999,next_open,-0.3487499999999999,-3757.4999999999995
2025-08-11,2025-08-12,bear,11.5,7.7,24900,25100,188.5,-15.0,next_open,-0.015,-3772.4999999999995
2025-08-12,2025-08-13,bear,5.4,7.5,24850,25050,194.6,-457.5,next_open,-0.4575,-4230.0
2025-08-13,2025-08-14,bull,5.55,6.6,24400,24200,194.45,-378.75,next_open,-0.37875000000000003,-4608.75
2025-08-18,2025-08-19,bull,15.75,11.25,24650,24450,184.25,37.5,next_open,0.0375,-4571.25
2025-08-22,2025-08-25,bear,16.2,21.25,25200,25400,183.8,-678.75,next_open,-0.67875,-5250.0
2025-08-26,2025-08-28,bear,6.000000000000001,4.9,25050,25250,194.0,-217.49999999999994,next_open,-0.21749999999999994,-5467.5
2025-08-29,2025-09-01,bear,4.65,5.4,24850,25050,195.35,-356.25,next_open,-0.35625,-5823.75
2025-09-01,2025-09-02,bull,7.8,2.95,24450,24250,192.2,63.75,next_open,0.06375,-5760.0
