entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-16,2025-06-17,bull,30.1,28.050000000000004,24750,24550,169.9,-146.25000000000023,next_open,-0.1462500000000002,-146.25000000000023
2025-06-17,2025-06-18,bear,15.65,14.149999999999999,25100,25300,184.35,-187.4999999999999,next_open,-0.1874999999999999,-333.7500000000001
2025-06-18,2025-06-19,bear,6.8999999999999995,4.55,25100,25250,143.1,-123.75000000000003,next_open,-0.12375000000000003,-457.5000000000001
2025-06-20,2025-06-23,bull,23.700000000000003,30.099999999999994,24850,24700,126.3,-779.9999999999993,next_open,-0.7799999999999994,-1237.4999999999995
2025-06-24,2025-06-25,bear,21.400000000000002,33.8,25300,25500,178.6,-1229.9999999999995,next_open,-1.2299999999999995,-2467.499999999999
2025-06-25,2025-06-26,bull,10.3,3.95,25000,24800,189.7,176.25000000000006,next_open,0.17625000000000007,-2291.249999999999
2025-06-27,2025-06-30,bull,40.7,39.849999999999994,25500,25300,159.3,-236.24999999999937,next_open,-0.2362499999999994,-2527.4999999999986
2025-06-30,2025-07-01,bear,18.45,20.75,25850,26050,181.55,-472.50000000000006,next_open,-0.4725000000000001,-2999.9999999999986
2025-07-02,2025-07-03,bear,3.75,3.5,25800,26000,196.25,-281.25,next_open,-0.28125,-3281.2499999999986
2025-07-04,2025-07-07,bull,39.199999999999996,46.85,25300,25100,160.8,-873.7500000000005,next_open,-0.8737500000000004,-4154.999999999999
2025-07-08,2025-07-09,bull,15.299999999999999,18.5,25350,25200,134.7,-540.0000000000001,next_open,-0.5400000000000001,-4694.999999999999
2025-07-09,2025-07-10,bear,4.55,3.5000000000000004,25800,26000,195.45,-221.25000000000006,next_open,-0.22125000000000006,-4916.249999999999
2025-07-11,2025-07-14,bear,15.150000000000002,12.3,25500,25650,134.85,-86.24999999999989,next_open,-0.0862499999999999,-5002.499999999999
2025-07-15,2025-07-16,bull,9.9,8.95,25000,24850,140.1,-228.74999999999991,next_open,-0.22874999999999993,-5231.249999999999
2025-07-16,2025-07-17,bull,6.1499999999999995,4.55,25000,24800,193.85,-180.00000000000003,next_open,-0.18000000000000005,-5411.249999999999
2025-07-18,2025-07-21,bear,17.950000000000003,17.45,25300,25450,132.05,-262.4999999999997,next_open,-0.26249999999999973,-5673.749999999999
2025-07-21,2025-07-22,bull,18.4,14.95,24900,24700,181.6,-41.25000000000006,next_open,-0.04125000000000006,-5714.999999999999
2025-07-22,2025-07-23,bear,5.35,5.9,25350,25500,144.65,-341.25000000000006,next_open,-0.34125000000000005,-6056.249999999999
2025-07-23,2025-07-24,bull,4.25,3.6,25000,24800,195.75,-251.25,next_open,-0.25125,-6307.499999999999
2025-07-25,2025-07-28,bear,20.0,20.0,25100,25250,130.0,-300.0,next_open,-0.3,-6607.499999999999
2025-07-28,2025-07-29,bear,20.25,14.399999999999999,24950,25150,179.75,138.7500000000001,next_open,0.13875000000000012,-6468.749999999999
2025-07-29,2025-07-30,bull,10.4,8.0,24600,24400,189.6,-119.99999999999997,next_open,-0.11999999999999997,-6588.749999999999
2025-07-30,2025-07-31,bull,4.1,35.0,24600,24450,145.9,-2617.5,next_open,-2.6175,-9206.25
2025-08-01,2025-08-04,bear,30.0,23.85,24850,25050,170.0,161.2499999999999,next_open,0.1612499999999999,-9045.0
2025-08-04,2025-08-05,bull,31.25,27.6,24550,24350,168.75,-26.250000000000114,next_open,-0.026250000000000114,-9071.25
2025-08-06,2025-08-07,bear,3.4000000000000004,0.25,24900,25050,146.6,-63.74999999999997,next_open,-0.06374999999999997,-9135.0
2025-08-08,2025-08-11,bear,18.849999999999998,17.0,24700,24850,131.15,-161.25000000000017,next_open,-0.16125000000000017,-9296.25
2025-08-11,2025-08-12,bull,26.150000000000002,28.150000000000002,24400,24200,173.85,-450.0,next_open,-0.44999999999999996,-9746.25
2025-08-12,2025-08-13,bear,7.15,9.1,24800,24950,142.85,-446.24999999999994,next_open,-0.4462499999999999,-10192.5
2025-08-13,2025-08-14,bull,6.95,4.8999999999999995,24450,24300,143.05,-146.24999999999994,next_open,-0.14624999999999994,-10338.75
2025-08-19,2025-08-20,bull,13.3,15.45,24800,24600,186.7,-461.2499999999999,next_open,-0.4612499999999998,-10800.0
2025-08-20,2025-08-21,bull,7.499999999999999,3.4999999999999996,24850,24650,192.5,-5.684341886080802e-14,next_open,-5.684341886080802e-17,-10800.0
2025-08-22,2025-08-25,bear,17.950000000000003,23.25,25150,25300,132.05,-697.4999999999998,next_open,-0.6974999999999998,-11497.5
2025-08-25,2025-08-26,bull,9.8,11.8,24750,24550,190.2,-450.0,next_open,-0.44999999999999996,-11947.5
2025-08-26,2025-08-28,bear,7.299999999999999,3.7,25000,25150,142.7,-30.000000000000114,next_open,-0.03000000000000011,-11977.5
2025-08-29,2025-09-01,bear,6.65,6.6499999999999995,24800,25000,193.35,-299.99999999999994,next_open,-0.3,-12277.5
2025-09-01,2025-09-02,bull,11.3,4.15,24500,24350,138.7,236.25,next_open,0.23625000000000002,-12041.25
2025-09-03,2025-09-04,bull,24.249999999999996,7.15,24550,24400,125.75,982.4999999999995,next_open,0.9824999999999995,-11058.75
2025-09-04,2025-09-05,bear,7.6000000000000005,10.0,25100,25250,142.4,-480.0,next_open,-0.48,-11538.75
2025-09-08,2025-09-09,bear,1.2999999999999998,1.0499999999999998,25150,25300,148.7,-281.25,next_open,-0.28125,-11820.0
2025-09-11,2025-09-12,bull,17.049999999999997,10.250000000000002,24850,24700,132.95,209.99999999999966,next_open,0.20999999999999963,-11610.0
2025-09-12,2025-09-15,bull,12.049999999999999,12.15,24950,24800,137.95,-307.5000000000001,next_open,-0.3075000000000001,-11917.5
2025-09-15,2025-09-16,bear,1.2000000000000002,0.9,25400,25600,198.8,-277.5,next_open,-0.2775,-12195.0
2025-09-17,2025-09-18,bull,16.55,15.7,25150,25000,133.45,-236.2499999999999,next_open,-0.23624999999999988,-12431.25
2025-09-18,2025-09-19,bull,10.35,11.3,25250,25100,139.65,-371.2500000000001,next_open,-0.3712500000000001,-12802.5
2025-09-22,2025-09-23,bear,2.0500000000000003,1.5,25550,25700,147.95,-258.75,next_open,-0.25875,-13061.25
2025-09-24,2025-09-25,bear,17.9,15.549999999999999,25350,25550,182.1,-123.75000000000003,next_open,-0.12375000000000003,-13185.0
2025-09-25,2025-09-26,bear,16.75,7.949999999999999,25200,25400,183.25,360.0,next_open,0.36,-12825.0
2025-09-26,2025-09-29,bear,10.05,14.7,24950,25100,139.95,-648.7499999999999,next_open,-0.6487499999999998,-13473.75
2025-09-29,2025-09-30,bear,2.25,2.9000000000000004,24950,25100,147.75,-348.75,next_open,-0.34875,-13822.5
2025-10-01,2025-10-03,bull,20.6,31.95,24700,24550,129.4,-1151.25,next_open,-1.15125,-14973.75
2025-10-03,2025-10-06,bull,13.15,8.2,24750,24600,136.85,71.25000000000006,next_open,0.07125000000000006,-14902.5
2025-10-06,2025-10-07,bull,8.0,5.5,24950,24750,192.0,-112.5,next_open,-0.11249999999999999,-15015.0
2025-10-08,2025-10-09,bear,12.549999999999999,13.749999999999998,25350,25550,187.45,-389.99999999999994,next_open,-0.38999999999999996,-15405.0
2025-10-09,2025-10-10,bull,13.1,11.65,25000,24850,136.9,-191.25000000000006,next_open,-0.19125000000000006,-15596.25
2025-10-10,2025-10-13,bull,11.349999999999998,42.45,25150,25000,138.65,-2632.5000000000005,next_open,-2.6325000000000003,-18228.75
2025-10-13,2025-10-14,bull,6.35,5.6499999999999995,25050,24900,143.65,-247.5,next_open,-0.24750000000000003,-18476.25
2025-10-15,2025-10-16,bull,16.25,8.35,25150,25000,133.75,292.5,next_open,0.2925,-18183.75
2025-10-16,2025-10-17,bull,18.45,25.5,25400,25200,181.55,-828.75,next_open,-0.82875,-19012.5
2025-10-23,2025-10-24,bear,15.0,16.85,26250,26400,135.0,-438.7500000000001,next_open,-0.4387500000000001,-19451.25
2025-10-24,2025-10-27,bear,15.75,15.399999999999999,26050,26250,184.25,-273.7499999999999,next_open,-0.2737499999999999,-19725.0
2025-10-27,2025-10-28,bull,6.6499999999999995,7.799999999999999,25750,25550,193.35,-386.24999999999994,next_open,-0.38625,-20111.25
2025-10-29,2025-10-30,bull,49.599999999999994,57.050000000000004,26000,25800,150.4,-858.7500000000008,next_open,-0.8587500000000008,-20970.0
2025-10-30,2025-10-31,bear,11.2,6.5,26300,26450,138.8,52.49999999999994,next_open,0.05249999999999994,-20917.5
2025-10-31,2025-11-03,bear,10.700000000000001,4.799999999999999,26150,26350,189.3,142.50000000000017,next_open,0.14250000000000018,-20775.0
2025-11-03,2025-11-04,bull,20.5,26.5,25650,25450,179.5,-750.0,next_open,-0.75,-21525.0
