entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-16,2025-06-17,bull,20.799999999999997,16.849999999999998,24600,24350,229.2,-3.750000000000057,next_open,-0.0037500000000000567,-3.750000000000057
2025-06-17,2025-06-18,bear,6.199999999999999,7.300000000000001,25250,25500,243.8,-382.5000000000001,next_open,-0.3825000000000001,-386.25000000000017
2025-06-18,2025-06-19,bear,4.2,2.6,25200,25450,245.8,-180.0,next_open,-0.18,-566.2500000000002
2025-06-20,2025-06-23,bull,24.65,23.0,24750,24500,225.35,-176.2500000000001,next_open,-0.1762500000000001,-742.5000000000003
2025-06-24,2025-06-25,bear,8.799999999999999,12.8,25450,25700,241.2,-600.0000000000001,next_open,-0.6000000000000001,-1342.5000000000005
2025-06-25,2025-06-26,bull,4.700000000000001,2.95,24850,24600,245.3,-168.74999999999994,next_open,-0.16874999999999993,-1511.2500000000005
2025-06-27,2025-06-30,bull,25.050000000000004,23.2,25350,25100,224.95,-161.24999999999963,next_open,-0.16124999999999964,-1672.5
2025-06-30,2025-07-01,bear,9.75,9.75,26000,26250,240.25,-300.0,next_open,-0.3,-1972.5
2025-07-02,2025-07-03,bear,1.35,0.7,25950,26200,248.65,-251.25,next_open,-0.25125,-2223.75
2025-07-04,2025-07-07,bull,22.35,21.700000000000003,25150,24900,227.65,-251.2500000000001,next_open,-0.25125000000000014,-2475.0
2025-07-08,2025-07-09,bull,10.850000000000001,18.0,25250,24950,289.15,-836.2499999999999,next_open,-0.8362499999999998,-3311.25
2025-07-09,2025-07-10,bear,1.6,0.8,25950,26200,248.4,-240.0,next_open,-0.24,-3551.25
2025-07-11,2025-07-14,bear,12.7,11.75,25600,25850,237.3,-228.75000000000006,next_open,-0.22875000000000004,-3780.0
2025-07-15,2025-07-16,bull,6.250000000000001,4.35,24900,24650,243.75,-157.49999999999991,next_open,-0.15749999999999992,-3937.5
2025-07-16,2025-07-17,bull,2.05,0.9,24850,24600,247.95,-213.75,next_open,-0.21375,-4151.25
2025-07-18,2025-07-21,bear,15.049999999999999,18.85,25400,25650,234.95,-585.0000000000002,next_open,-0.5850000000000002,-4736.25
2025-07-21,2025-07-22,bull,9.25,6.9,24750,24500,240.75,-123.75000000000003,next_open,-0.12375000000000003,-4860.0
2025-07-22,2025-07-23,bear,2.85,3.55,25450,25700,247.15,-352.5,next_open,-0.3525,-5212.5
2025-07-23,2025-07-24,bull,1.4999999999999998,1.5,24850,24600,248.5,-300.0,next_open,-0.3,-5512.5
2025-07-25,2025-07-28,bear,17.2,10.4,25200,25450,232.8,209.99999999999994,next_open,0.20999999999999994,-5302.5
2025-07-28,2025-07-29,bear,11.55,9.8,25100,25350,238.45,-168.75,next_open,-0.16875,-5471.25
2025-07-29,2025-07-30,bull,4.5,2.95,24450,24200,245.5,-183.75,next_open,-0.18375,-5655.0
2025-07-30,2025-07-31,bull,2.85,14.700000000000001,24500,24250,247.15,-1188.75,next_open,-1.18875,-6843.75
2025-08-01,2025-08-04,bear,16.9,17.5,25000,25250,233.1,-345.0000000000001,next_open,-0.34500000000000014,-7188.75
2025-08-04,2025-08-05,bull,17.3,16.55,24400,24150,232.7,-243.75,next_open,-0.24375,-7432.5
2025-08-06,2025-08-07,bear,1.9000000000000001,0.3500000000000001,25000,25250,248.1,-183.75,next_open,-0.18375,-7616.25
2025-08-08,2025-08-11,bear,15.45,12.8,24800,25050,234.55,-101.25000000000011,next_open,-0.1012500000000001,-7717.5
2025-08-11,2025-08-12,bull,13.1,13.499999999999998,24250,24000,236.9,-329.9999999999999,next_open,-0.32999999999999985,-8047.5
2025-08-12,2025-08-13,bear,3.7,4.550000000000001,24900,25150,246.3,-363.75000000000006,next_open,-0.3637500000000001,-8411.25
2025-08-13,2025-08-14,bull,4.199999999999999,5.45,24350,24100,245.8,-393.75000000000006,next_open,-0.3937500000000001,-8805.0
2025-08-19,2025-08-20,bull,4.75,4.75,24650,24400,245.25,-300.0,next_open,-0.3,-9105.0
2025-08-20,2025-08-21,bull,2.6500000000000004,0.8999999999999999,24700,24450,247.35,-168.74999999999997,next_open,-0.16874999999999998,-9273.75
2025-08-22,2025-08-25,bear,13.1,17.1,25250,25500,236.9,-600.0000000000001,next_open,-0.6000000000000001,-9873.75
2025-08-25,2025-08-26,bull,3.3000000000000003,3.85,24600,24350,246.7,-341.25,next_open,-0.34125,-10215.0
2025-08-26,2025-08-28,bear,4.55,1.7000000000000002,25100,25350,245.45,-86.25000000000003,next_open,-0.08625000000000003,-10301.25
2025-08-29,2025-09-01,bear,2.5999999999999996,3.25,24950,25200,247.4,-348.75,next_open,-0.34875,-10650.0
2025-09-01,2025-09-02,bull,5.3500000000000005,1.6,24400,24150,244.65,-18.749999999999943,next_open,-0.018749999999999944,-10668.75
2025-09-03,2025-09-04,bull,19.35,4.700000000000001,24450,24200,230.65,798.75,next_open,0.79875,-9870.0
2025-09-04,2025-09-05,bear,4.85,4.7,25200,25450,245.15,-288.75000000000006,next_open,-0.28875000000000006,-10158.75
2025-09-08,2025-09-09,bear,0.7,0.5499999999999999,25250,25500,249.3,-288.75,next_open,-0.28875,-10447.5
2025-09-11,2025-09-12,bull,11.749999999999998,7.2,24750,24500,238.25,41.24999999999983,next_open,0.04124999999999983,-10406.25
2025-09-12,2025-09-15,bull,8.25,6.85,24850,24550,291.75,-194.99999999999997,next_open,-0.19499999999999998,-10601.25
2025-09-15,2025-09-16,bear,0.6000000000000001,0.3500000000000001,25550,25800,249.4,-281.25,next_open,-0.28125,-10882.5
2025-09-17,2025-09-18,bull,12.85,6.8,25050,24800,237.15,153.75,next_open,0.15375,-10728.75
2025-09-18,2025-09-19,bull,7.549999999999999,8.55,25150,24850,292.45,-375.0000000000001,next_open,-0.3750000000000001,-11103.75
2025-09-22,2025-09-23,bear,1.15,1.2,25650,25900,248.85,-303.75,next_open,-0.30374999999999996,-11407.5
2025-09-24,2025-09-25,bear,7.949999999999999,7.1499999999999995,25500,25750,242.05,-240.0,next_open,-0.24,-11647.5
2025-09-25,2025-09-26,bear,7.45,5.55,25350,25600,242.55,-157.49999999999997,next_open,-0.15749999999999997,-11805.0
2025-09-26,2025-09-29,bear,7.2,5.8500000000000005,25050,25300,242.8,-198.75000000000003,next_open,-0.19875,-12003.75
2025-09-29,2025-09-30,bear,1.5500000000000003,1.4500000000000002,25050,25300,248.45,-292.5,next_open,-0.2925,-12296.25
2025-10-01,2025-10-03,bull,16.15,12.75,24600,24350,233.85,-45.000000000000114,next_open,-0.04500000000000011,-12341.25
2025-10-03,2025-10-06,bull,9.450000000000001,7.45,24650,24400,240.55,-149.99999999999994,next_open,-0.14999999999999994,-12491.25
2025-10-06,2025-10-07,bull,2.2500000000000004,2.05,24800,24550,247.75,-284.99999999999994,next_open,-0.2849999999999999,-12776.25
2025-10-08,2025-10-09,bear,5.65,5.8,25500,25750,244.35,-311.24999999999994,next_open,-0.3112499999999999,-13087.5
2025-10-09,2025-10-10,bull,8.4,7.25,24900,24650,241.6,-213.74999999999997,next_open,-0.21374999999999997,-13301.25
2025-10-10,2025-10-13,bull,7.1,13.5,25050,24800,242.9,-780.0,next_open,-0.7799999999999999,-14081.25
2025-10-13,2025-10-14,bull,3.65,3.0,24950,24700,246.35,-251.25,next_open,-0.25125,-14332.5
2025-10-15,2025-10-16,bull,13.649999999999999,12.6,25050,24800,236.35,-221.25000000000009,next_open,-0.22125000000000009,-14553.75
2025-10-16,2025-10-17,bull,9.8,12.149999999999999,25250,25000,240.2,-476.24999999999983,next_open,-0.47624999999999984,-15030.0
2025-10-23,2025-10-24,bear,10.350000000000001,9.2,26350,26650,289.65,-213.74999999999983,next_open,-0.21374999999999983,-15243.75
2025-10-24,2025-10-27,bear,7.2,9.600000000000001,26200,26450,242.8,-480.0000000000001,next_open,-0.48000000000000015,-15723.75
2025-10-27,2025-10-28,bull,2.1000000000000005,1.9,25600,25350,247.9,-284.99999999999994,next_open,-0.2849999999999999,-16008.75
2025-10-29,2025-10-30,bull,32.150000000000006,37.75,25850,25600,217.85,-719.9999999999995,next_open,-0.7199999999999995,-16728.75
2025-10-30,2025-10-31,bear,8.35,5.749999999999999,26400,26700,291.65,-104.99999999999997,next_open,-0.10499999999999997,-16833.75
2025-10-31,2025-11-03,bear,4.950000000000001,2.1,26300,26550,245.05,-86.24999999999991,next_open,-0.08624999999999991,-16920.0
2025-11-03,2025-11-04,bull,4.85,2.4,25500,25250,245.15,-116.25000000000003,next_open,-0.11625000000000003,-17036.25
2025-11-06,2025-11-07,bear,5.300000000000001,3.2,26000,26250,244.7,-142.49999999999997,next_open,-0.14249999999999996,-17178.75
2025-11-07,2025-11-10,bull,8.05,5.15,25200,24950,241.95,-82.49999999999997,next_open,-0.08249999999999996,-17261.25
2025-11-12,2025-11-13,bull,20.950000000000003,22.4,25600,25350,229.05,-408.74999999999966,next_open,-0.40874999999999967,-17670.0
2025-11-13,2025-11-14,bear,12.0,7.9,26350,26600,238.0,7.5,next_open,0.0075,-17662.5
2025-11-14,2025-11-17,bull,10.45,6.3999999999999995,25550,25300,239.55,3.75,next_open,0.00375,-17658.75
2025-11-17,2025-11-18,bull,1.8499999999999996,1.0999999999999999,25650,25400,248.15,-243.75,next_open,-0.24375,-17902.5
2025-11-19,2025-11-20,bull,24.049999999999997,14.349999999999998,25700,25400,275.95,427.5,next_open,0.4275,-17475.0
2025-11-20,2025-11-21,bull,15.049999999999999,22.8,25850,25550,284.95,-881.2500000000001,next_open,-0.8812500000000001,-18356.25
2025-11-21,2025-11-24,bear,7.3,8.3,26450,26750,292.7,-375.00000000000006,next_open,-0.37500000000000006,-18731.25
2025-11-24,2025-11-25,bear,1.4999999999999998,1.4,26400,26650,248.5,-292.5,next_open,-0.2925,-19023.75
2025-11-26,2025-11-27,bull,39.8,32.1,26000,25700,260.2,277.49999999999966,next_open,0.2774999999999997,-18746.25
2025-12-01,2025-12-02,bear,0.34999999999999987,0.29999999999999993,26750,27000,249.65,-296.25,next_open,-0.29625,-19042.5
