entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-20,2025-06-23,bear,47.05,32.2,25250,25400,102.95,813.7499999999995,next_open,0.8137499999999995,813.7499999999995
2025-06-25,2025-06-26,bear,13.65,17.0,25400,25550,136.35,-551.25,next_open,-0.55125,262.49999999999955
2025-06-27,2025-06-30,bear,24.799999999999997,26.9,25900,26050,125.2,-457.5000000000001,next_open,-0.4575000000000001,-195.00000000000057
2025-07-11,2025-07-14,bull,23.949999999999996,18.799999999999997,25050,24950,76.05000000000001,86.24999999999989,next_open,0.0862499999999999,-108.75000000000068
2025-07-23,2025-07-24,bear,5.8500000000000005,4.25,25400,25550,144.15,-179.99999999999994,next_open,-0.17999999999999994,-288.7500000000006
2025-07-25,2025-07-28,bull,22.0,19.849999999999994,24700,24600,78.0,-138.74999999999957,next_open,-0.13874999999999957,-427.5000000000002
2025-08-04,2025-08-05,bear,16.999999999999996,15.95,24950,25050,83.0,-221.25000000000023,next_open,-0.22125000000000022,-648.7500000000005
2025-08-08,2025-08-11,bull,40.099999999999994,40.8,24300,24150,109.9,-352.5000000000002,next_open,-0.3525000000000002,-1001.2500000000007
2025-08-11,2025-08-12,bear,13.75,11.399999999999999,24800,24900,86.25,-123.74999999999989,next_open,-0.12374999999999987,-1125.0000000000005
2025-08-13,2025-08-14,bear,5.35,2.6,24850,25000,144.65,-93.75000000000003,next_open,-0.09375000000000003,-1218.7500000000005
2025-08-18,2025-08-19,bear,27.15,25.949999999999996,25100,25250,122.85,-209.99999999999977,next_open,-0.20999999999999977,-1428.7500000000002
2025-08-22,2025-08-25,bull,29.150000000000002,13.05,24750,24600,120.85,907.5,next_open,0.9075,-521.2500000000002
2025-08-26,2025-08-28,bull,14.9,19.3,24600,24450,135.1,-630.0,next_open,-0.63,-1151.2500000000002
2025-09-01,2025-09-02,bear,1.35,1.0,24900,25000,98.65,-273.75,next_open,-0.27375,-1425.0000000000002
2025-09-26,2025-09-29,bull,23.0,18.3,24550,24400,127.0,52.49999999999994,next_open,0.05249999999999994,-1372.5000000000002
2025-10-01,2025-10-03,bear,13.299999999999999,12.35,25100,25250,136.7,-228.75000000000006,next_open,-0.22875000000000004,-1601.2500000000002
2025-10-06,2025-10-07,bear,0.95,0.55,25350,25450,99.05,-270.0,next_open,-0.27,-1871.2500000000002
2025-10-09,2025-10-10,bear,7.9,7.9,25450,25550,92.1,-300.0,next_open,-0.3,-2171.25
2025-10-15,2025-10-16,bear,13.150000000000002,13.500000000000002,25600,25700,86.85,-326.25,next_open,-0.32625000000000004,-2497.5
2025-10-16,2025-10-17,bear,16.1,11.0,25800,25950,133.9,82.50000000000011,next_open,0.08250000000000011,-2415.0
2025-10-24,2025-10-27,bull,17.0,12.0,25650,25550,83.0,75.0,next_open,0.075,-2340.0
2025-10-27,2025-10-28,bear,14.8,18.450000000000003,26150,26300,135.2,-573.7500000000002,next_open,-0.5737500000000002,-2913.75
2025-10-29,2025-10-30,bear,23.950000000000003,18.4,26400,26550,126.05,116.25000000000034,next_open,0.11625000000000034,-2797.4999999999995
2025-10-30,2025-10-31,bull,53.35000000000001,60.0,25900,25750,96.64999999999999,-798.7499999999993,next_open,-0.7987499999999993,-3596.249999999999
2025-11-12,2025-11-13,bear,20.45,20.45,26150,26250,79.55,-300.0,next_open,-0.3,-3896.249999999999
2025-11-26,2025-11-27,bear,11.3,12.5,26550,26650,88.7,-389.99999999999994,next_open,-0.38999999999999996,-4286.249999999999
2025-12-08,2025-12-09,bull,23.95,29.150000000000002,25900,25800,76.05,-690.0000000000002,next_open,-0.6900000000000003,-4976.249999999999
2025-12-22,2025-12-23,bear,3.9,4.05,26350,26500,146.1,-311.25,next_open,-0.31124999999999997,-5287.499999999999
2025-12-31,2026-01-01,bear,9.9,9.9,26450,26600,140.1,-300.0,next_open,-0.3,-5587.499999999999
2026-01-02,2026-01-05,bear,2.9,3.95,26600,26750,147.1,-378.75,next_open,-0.37875000000000003,-5966.249999999999
2026-01-08,2026-01-09,bull,39.0,42.0,25850,25700,111.0,-525.0,next_open,-0.525,-6491.249999999999
2026-01-09,2026-01-12,bull,36.95,28.0,25650,25500,113.05,371.2500000000002,next_open,0.37125000000000025,-6119.999999999999
2026-01-19,2026-01-20,bull,18.1,19.75,25450,25300,131.9,-423.7499999999999,next_open,-0.4237499999999999,-6543.749999999999
2026-01-22,2026-01-23,bear,32.8,35.900000000000006,25500,25650,117.2,-532.5000000000007,next_open,-0.5325000000000006,-7076.25
2026-01-23,2026-01-27,bull,32.05,22.199999999999996,24950,24800,117.95,438.7500000000001,next_open,0.4387500000000001,-6637.5
2026-01-28,2026-01-29,bear,41.2,49.64999999999999,25600,25750,108.8,-933.7499999999991,next_open,-0.9337499999999992,-7571.249999999999
2026-02-02,2026-02-03,bull,38.199999999999996,-1.0,25000,24850,111.80000000000001,2639.9999999999995,next_open,2.6399999999999997,-4931.25
2026-02-09,2026-02-10,bear,10.25,14.249999999999998,26050,26200,139.75,-599.9999999999999,next_open,-0.6,-5531.25
2026-02-13,2026-02-16,bull,20.299999999999997,53.7,25350,25250,79.7,-2805.0000000000005,next_open,-2.8050000000000006,-8336.25
2026-02-16,2026-02-17,bear,14.450000000000001,10.8,25850,26000,135.55,-26.25,next_open,-0.02625,-8362.5
2026-02-19,2026-02-20,bull,33.05,36.099999999999994,25300,25150,116.95,-528.7499999999998,next_open,-0.5287499999999998,-8891.25
2026-02-25,2026-02-26,bear,15.600000000000001,14.650000000000002,25800,25900,84.4,-228.75000000000006,next_open,-0.22875000000000004,-9120.0
2026-02-27,2026-03-02,bull,49.45,113.80000000000001,25200,25050,100.55,-5126.250000000001,next_open,-5.126250000000001,-14246.25
2026-03-04,2026-03-05,bull,53.64999999999998,74.94999999999999,24450,24300,96.35000000000002,-1897.500000000001,next_open,-1.8975000000000009,-16143.75
