entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-20,2025-06-23,bear,11.75,9.9,25600,25900,288.25,-161.25000000000003,next_open,-0.16125000000000003,-161.25000000000003
2025-06-25,2025-06-26,bear,0.7499999999999999,0.8500000000000001,25750,26050,299.25,-307.5,next_open,-0.3075,-468.75
2025-06-27,2025-06-30,bear,5.35,4.800000000000001,26250,26550,294.65,-258.75000000000006,next_open,-0.25875000000000004,-727.5
2025-07-11,2025-07-14,bull,9.200000000000001,8.6,24700,24400,290.8,-254.9999999999999,next_open,-0.2549999999999999,-982.4999999999999
2025-07-23,2025-07-24,bear,0.30000000000000004,0.09999999999999998,25750,26050,299.7,-285.0,next_open,-0.28500000000000003,-1267.5
2025-07-25,2025-07-28,bull,8.15,7.95,24350,24050,291.85,-285.0,next_open,-0.28500000000000003,-1552.5
2025-08-04,2025-08-05,bear,3.8000000000000003,2.85,25300,25600,296.2,-228.75,next_open,-0.22875,-1781.25
2025-08-08,2025-08-11,bull,13.5,10.1,23950,23650,286.5,-44.99999999999997,next_open,-0.04499999999999997,-1826.25
2025-08-11,2025-08-12,bear,3.3,2.8,25100,25400,296.7,-262.5,next_open,-0.2625,-2088.75
2025-08-13,2025-08-14,bear,0.25,0.24999999999999994,25200,25500,299.75,-300.0,next_open,-0.3,-2388.75
2025-08-18,2025-08-19,bear,4.05,3.95,25450,25750,295.95,-292.5,next_open,-0.2925,-2681.25
2025-08-22,2025-08-25,bull,6.85,4.499999999999999,24400,24100,293.15,-123.74999999999997,next_open,-0.12374999999999997,-2805.0
2025-08-26,2025-08-28,bull,2.0500000000000003,2.95,24250,23950,297.95,-367.5,next_open,-0.3675,-3172.5
2025-09-01,2025-09-02,bear,0.15000000000000002,0.0,25250,25550,299.85,-288.75,next_open,-0.28875,-3461.25
2025-09-26,2025-09-29,bull,3.75,2.15,24200,23900,296.25,-180.0,next_open,-0.18,-3641.25
2025-10-01,2025-10-03,bear,1.15,0.6500000000000001,25450,25750,298.85,-262.5,next_open,-0.2625,-3903.75
2025-10-06,2025-10-07,bear,0.29999999999999993,0.25,25700,26000,299.7,-296.25,next_open,-0.29625,-4200.0
2025-10-09,2025-10-10,bear,0.8500000000000001,0.6499999999999999,25800,26100,299.15,-285.0,next_open,-0.28500000000000003,-4485.0
2025-10-15,2025-10-16,bear,1.25,1.45,25950,26250,298.75,-315.0,next_open,-0.315,-4800.0
2025-10-16,2025-10-17,bear,1.3000000000000003,1.4500000000000002,26150,26500,348.7,-311.25,next_open,-0.31124999999999997,-5111.25
2025-10-24,2025-10-27,bull,2.6,3.45,25300,25000,297.4,-363.75,next_open,-0.36375,-5475.0
2025-10-27,2025-10-28,bear,0.95,1.1500000000000001,26550,26850,299.05,-315.0,next_open,-0.315,-5790.0
2025-10-29,2025-10-30,bear,5.95,6.0,26750,27100,344.05,-303.75,next_open,-0.30374999999999996,-6093.75
2025-10-30,2025-10-31,bull,9.25,9.4,25500,25200,290.75,-311.25,next_open,-0.31124999999999997,-6405.0
2025-11-12,2025-11-13,bear,5.199999999999999,4.65,26500,26800,294.8,-258.75000000000006,next_open,-0.25875000000000004,-6663.75
2025-11-26,2025-11-27,bear,2.6,2.5999999999999996,26900,27250,347.4,-299.99999999999994,next_open,-0.3,-6963.75
2025-12-08,2025-12-09,bull,0.95,1.4,25550,25250,299.05,-333.75,next_open,-0.33375,-7297.5
2025-12-22,2025-12-23,bear,0.25,0.09999999999999998,26700,27050,349.75,-288.75,next_open,-0.28875,-7586.25
2025-12-31,2026-01-01,bear,1.2499999999999998,1.1,26800,27150,348.75,-288.75,next_open,-0.28875,-7875.0
2026-01-02,2026-01-05,bear,0.25,0.15000000000000002,27000,27300,299.75,-292.5,next_open,-0.2925,-8167.5
2026-01-08,2026-01-09,bull,4.15,5.65,25450,25150,295.85,-412.5,next_open,-0.41250000000000003,-8580.0
