entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-20,2025-06-23,bear,19.650000000000002,14.0,25500,25750,230.35,123.75000000000017,next_open,0.12375000000000017,123.75000000000017
2025-06-25,2025-06-26,bear,1.9,2.95,25650,25900,248.1,-378.75,next_open,-0.37875000000000003,-254.99999999999983
2025-06-27,2025-06-30,bear,9.05,11.35,26150,26400,240.95,-472.4999999999999,next_open,-0.4724999999999999,-727.4999999999998
2025-07-11,2025-07-14,bull,16.6,18.0,24850,24600,233.4,-404.9999999999999,next_open,-0.4049999999999999,-1132.4999999999995
2025-07-23,2025-07-24,bear,0.6,0.35,25650,25900,249.4,-281.25,next_open,-0.28125,-1413.7499999999995
2025-07-25,2025-07-28,bull,14.950000000000001,14.000000000000002,24500,24250,235.05,-228.75000000000006,next_open,-0.22875000000000004,-1642.4999999999995
2025-08-04,2025-08-05,bear,9.1,6.9,25150,25400,240.9,-135.00000000000006,next_open,-0.13500000000000006,-1777.4999999999995
2025-08-08,2025-08-11,bull,16.900000000000002,14.149999999999999,24050,23850,183.1,-93.74999999999974,next_open,-0.09374999999999975,-1871.2499999999993
2025-08-11,2025-08-12,bear,6.750000000000001,4.75,25000,25250,243.25,-149.99999999999994,next_open,-0.14999999999999994,-2021.2499999999993
2025-08-13,2025-08-14,bear,0.5499999999999999,0.30000000000000004,25100,25350,249.45,-281.25,next_open,-0.28125,-2302.499999999999
2025-08-18,2025-08-19,bear,7.450000000000001,8.25,25350,25600,242.55,-359.99999999999994,next_open,-0.35999999999999993,-2662.499999999999
2025-08-22,2025-08-25,bull,9.600000000000001,3.1999999999999993,24500,24300,190.4,180.00000000000017,next_open,0.18000000000000016,-2482.499999999999
2025-08-26,2025-08-28,bull,3.2499999999999996,2.5000000000000004,24350,24100,246.75,-243.75000000000006,next_open,-0.24375000000000005,-2726.249999999999
2025-09-01,2025-09-02,bear,0.4,0.25,25100,25350,249.6,-288.75,next_open,-0.28875,-3014.999999999999
