entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-27,2025-06-30,bull,18.4,11.1,25250,24950,281.6,247.4999999999999,next_open,0.2474999999999999,247.4999999999999
2025-07-01,2025-07-02,bull,5.25,5.050000000000001,25150,24800,344.75,-285.00000000000006,next_open,-0.28500000000000003,-37.50000000000017
2025-07-08,2025-07-09,bull,4.550000000000001,3.9,25100,24800,295.45,-251.24999999999994,next_open,-0.25125,-288.7500000000001
2025-07-09,2025-07-10,bear,1.0,0.65,26050,26400,349.0,-273.75,next_open,-0.27375,-562.5000000000001
2025-07-14,2025-07-15,bear,5.6499999999999995,5.65,25650,25950,294.35,-300.00000000000006,next_open,-0.30000000000000004,-862.5000000000002
2025-07-16,2025-07-17,bear,0.4999999999999999,0.30000000000000004,25750,26050,299.5,-285.0,next_open,-0.28500000000000003,-1147.5000000000002
2025-08-01,2025-08-04,bear,11.45,10.3,25100,25400,288.55,-213.7500000000001,next_open,-0.2137500000000001,-1361.2500000000005
2025-08-05,2025-08-06,bear,1.5999999999999999,1.2,25200,25500,298.4,-270.0,next_open,-0.27,-1631.2500000000005
2025-08-06,2025-08-07,bear,0.6,0.35,25150,25400,249.4,-281.25,next_open,-0.28125,-1912.5000000000005
2025-08-08,2025-08-11,bear,7.250000000000001,8.4,24950,25200,242.75,-386.24999999999994,next_open,-0.38625,-2298.7500000000005
2025-08-12,2025-08-13,bear,1.3,1.5,25050,25350,298.7,-315.0,next_open,-0.315,-2613.7500000000005
2025-08-29,2025-09-01,bull,6.999999999999999,5.9,24100,23800,293.0,-217.5000000000001,next_open,-0.2175000000000001,-2831.2500000000005
2025-09-01,2025-09-02,bull,1.8499999999999999,1.05,24250,23950,298.15,-240.0,next_open,-0.24,-3071.2500000000005
2025-09-03,2025-09-04,bull,9.749999999999998,5.05,24300,24000,290.25,52.499999999999886,next_open,0.05249999999999989,-3018.7500000000005
2025-09-04,2025-09-05,bull,7.65,4.95,24350,24050,292.35,-97.5,next_open,-0.09749999999999999,-3116.2500000000005
2025-09-05,2025-09-08,bull,4.25,2.85,24350,24050,295.75,-195.0,next_open,-0.19499999999999998,-3311.2500000000005
2025-09-10,2025-09-11,bull,7.549999999999999,7.550000000000001,24550,24250,292.45,-300.0000000000001,next_open,-0.3000000000000001,-3611.2500000000005
2025-09-15,2025-09-16,bear,0.44999999999999996,0.44999999999999996,25650,25950,299.55,-300.0,next_open,-0.3,-3911.2500000000005
2025-10-01,2025-10-03,bull,7.249999999999999,13.149999999999999,24450,24150,292.75,-742.5,next_open,-0.7425,-4653.75
2025-10-03,2025-10-06,bull,3.7,2.5,24500,24200,296.3,-210.0,next_open,-0.21,-4863.75
2025-10-06,2025-10-07,bull,1.4,0.7000000000000002,24700,24400,298.6,-247.50000000000003,next_open,-0.24750000000000003,-5111.25
2025-10-15,2025-10-16,bull,6.950000000000001,4.549999999999999,24900,24600,293.05,-119.99999999999983,next_open,-0.11999999999999984,-5231.25
2025-10-21,2025-10-23,bear,7.35,15.0,26400,26750,342.65,-873.75,next_open,-0.87375,-6105.0
2025-10-29,2025-10-30,bull,18.55,14.8,25700,25400,281.45,-18.75,next_open,-0.01875,-6123.75
2025-10-30,2025-10-31,bear,3.5999999999999996,1.2999999999999998,26550,26850,296.4,-127.5,next_open,-0.1275,-6251.25
2025-10-31,2025-11-03,bear,3.3000000000000003,1.5500000000000003,26400,26750,346.7,-168.75,next_open,-0.16875,-6420.0
2025-11-07,2025-11-10,bear,1.15,0.5499999999999999,26100,26400,298.85,-255.0,next_open,-0.255,-6675.0
2025-11-14,2025-11-17,bear,3.55,3.3,26450,26800,346.45,-281.25,next_open,-0.28125,-6956.25
2025-11-26,2025-11-27,bull,21.25,17.549999999999997,25850,25550,278.75,-22.499999999999773,next_open,-0.02249999999999977,-6978.75
2025-12-01,2025-12-02,bear,0.35,0.15000000000000002,26850,27200,349.65,-285.0,next_open,-0.28500000000000003,-7263.75
2025-12-03,2025-12-04,bear,3.45,3.5,26650,26950,296.55,-303.75,next_open,-0.30374999999999996,-7567.5
2025-12-08,2025-12-09,bear,0.5499999999999998,0.25,26600,26900,299.45,-277.5,next_open,-0.2775,-7845.0
2025-12-10,2025-12-11,bear,4.449999999999999,4.4,26400,26700,295.55,-296.25000000000006,next_open,-0.29625000000000007,-8141.25
2025-12-12,2025-12-15,bull,2.45,3.1999999999999997,25600,25300,297.55,-356.24999999999994,next_open,-0.3562499999999999,-8497.5
2025-12-17,2025-12-18,bear,4.05,2.95,26400,26750,345.95,-217.50000000000003,next_open,-0.21750000000000003,-8715.0
2025-12-31,2026-01-01,bull,5.799999999999999,5.299999999999999,25750,25450,294.2,-262.5,next_open,-0.2625,-8977.5
2026-01-05,2026-01-06,bear,0.25,0.15000000000000002,26850,27150,299.75,-292.5,next_open,-0.2925,-9270.0
2026-01-07,2026-01-08,bear,1.6,1.6,26750,27050,298.4,-300.0,next_open,-0.3,-9570.0
2026-01-08,2026-01-09,bear,1.6500000000000004,1.1,26500,26800,298.35,-258.75,next_open,-0.25875,-9828.75
2026-01-09,2026-01-12,bear,3.75,2.1000000000000005,26300,26600,296.25,-176.25000000000006,next_open,-0.17625000000000007,-10005.0
2026-01-28,2026-01-29,bull,39.300000000000004,39.35,24950,24650,260.7,-303.7499999999998,next_open,-0.30374999999999974,-10308.75
2026-01-29,2026-01-30,bull,37.900000000000006,57.0,25050,24700,312.1,-1732.4999999999995,next_open,-1.7324999999999997,-12041.25
2026-01-30,2026-02-02,bear,23.6,2.95,25900,26250,326.4,1248.7500000000002,next_open,1.2487500000000002,-10792.5
2026-02-05,2026-02-06,bear,6.0,5.1,26250,26550,294.0,-232.49999999999997,next_open,-0.23249999999999998,-11025.0
2026-02-06,2026-02-09,bull,5.6,4.0,25200,24900,294.4,-180.00000000000003,next_open,-0.18000000000000005,-11205.0
2026-02-11,2026-02-12,bull,7.699999999999999,0.0,25450,25150,292.3,277.5,next_open,0.2775,-10927.5
2026-02-12,2026-02-13,bear,3.3000000000000007,2.85,26400,26700,296.7,-266.24999999999994,next_open,-0.26624999999999993,-11193.75
2026-02-13,2026-02-16,bear,6.5,4.1,26050,26350,293.5,-119.99999999999997,next_open,-0.11999999999999997,-11313.75
2026-02-25,2026-02-26,bull,21.900000000000002,13.899999999999999,25100,24800,278.1,300.0000000000002,next_open,0.3000000000000002,-11013.75
2026-02-26,2026-02-27,bull,12.700000000000001,12.900000000000002,25100,24800,287.3,-315.00000000000006,next_open,-0.31500000000000006,-11328.75
2026-02-27,2026-03-02,bear,3.2499999999999996,1.55,25850,26150,296.75,-172.50000000000006,next_open,-0.17250000000000007,-11501.25
2026-03-04,2026-03-05,bear,37.95,43.75,25100,25350,212.05,-734.9999999999998,next_open,-0.7349999999999998,-12236.25
2026-03-06,2026-03-09,bear,23.05,9.0,25050,25350,276.95,753.75,next_open,0.75375,-11482.5
2026-03-09,2026-03-10,bear,16.6,16.75,24600,24900,283.4,-311.2499999999999,next_open,-0.3112499999999999,-11793.75
2026-03-11,2026-03-12,bear,52.9,15.399999999999999,24400,24700,247.1,2512.5,next_open,2.5125,-9281.25
2026-03-12,2026-03-13,bear,36.15,21.950000000000003,24200,24500,263.85,764.9999999999998,next_open,0.7649999999999998,-8516.25
2026-03-13,2026-03-16,bear,36.45,22.0,23650,23950,263.55,783.7500000000002,next_open,0.7837500000000003,-7732.5
2026-03-20,2026-03-23,bull,47.300000000000004,54.80000000000001,22700,22400,252.7,-862.5000000000006,next_open,-0.8625000000000006,-8595.0
2026-04-01,2026-04-02,bull,69.45000000000002,103.0,22350,22050,230.54999999999998,-2816.2499999999986,next_open,-2.816249999999999,-11411.249999999998
2026-04-02,2026-04-06,bear,46.199999999999996,55.85000000000001,23200,23500,253.8,-1023.7500000000009,next_open,-1.0237500000000008,-12435.0
2026-04-06,2026-04-07,bull,35.4,22.05,22600,22300,264.6,701.2499999999999,next_open,0.7012499999999999,-11733.75
2026-04-29,2026-04-30,bull,28.349999999999998,32.35,23750,23500,221.65,-600.0000000000002,next_open,-0.6000000000000002,-12333.75
2026-04-30,2026-05-04,bear,16.700000000000003,17.85,24600,24850,233.3,-386.2499999999999,next_open,-0.38624999999999987,-12720.0
2026-05-04,2026-05-05,bull,4.6499999999999995,2.0,23700,23450,245.35,-101.25000000000003,next_open,-0.10125000000000003,-12821.25
2026-05-06,2026-05-07,bull,29.6,27.299999999999997,23950,23650,270.4,-127.49999999999969,next_open,-0.1274999999999997,-12948.75
2026-05-07,2026-05-08,bear,21.099999999999998,15.549999999999999,24850,25150,278.9,116.24999999999994,next_open,0.11624999999999995,-12832.5
2026-05-08,2026-05-11,bear,13.850000000000001,2.7500000000000004,24700,25000,286.15,532.5000000000001,next_open,0.5325000000000001,-12300.0
2026-05-11,2026-05-12,bear,4.0,0.0,24350,24650,296.0,0.0,next_open,0.0,-12300.0
2026-05-27,2026-05-29,bull,16.5,11.549999999999999,23500,23250,233.5,71.25000000000006,next_open,0.07125000000000006,-12228.75
2026-05-29,2026-06-01,bear,14.2,12.450000000000001,24200,24500,285.8,-168.75000000000014,next_open,-0.16875000000000015,-12397.5
2026-06-01,2026-06-02,bear,3.35,0.7,23950,24200,246.65,-101.24999999999997,next_open,-0.10124999999999998,-12498.75
2026-06-03,2026-06-04,bear,22.85,14.849999999999998,24000,24250,227.15,300.0000000000002,next_open,0.3000000000000002,-12198.75
2026-06-04,2026-06-05,bear,13.7,13.05,24000,24250,236.3,-251.2500000000001,next_open,-0.25125000000000014,-12450.0
2026-06-08,2026-06-09,bear,2.5,1.5999999999999999,23650,23900,247.5,-232.5,next_open,-0.23249999999999998,-12682.5
2026-07-01,2026-07-02,bull,18.85,19.799999999999997,23600,23300,281.15,-371.24999999999966,next_open,-0.37124999999999964,-13053.75
2026-07-08,2026-07-09,bear,21.6,22.75,24400,24700,278.4,-386.2499999999999,next_open,-0.38624999999999987,-13440.0
