entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-27,2025-06-30,bull,25.050000000000004,23.2,25350,25100,224.95,-161.24999999999963,next_open,-0.16124999999999964,-161.24999999999963
2025-07-01,2025-07-02,bull,9.0,7.55,25250,25000,241.0,-191.25,next_open,-0.19125,-352.49999999999966
2025-07-08,2025-07-09,bull,10.850000000000001,18.0,25250,24950,289.15,-836.2499999999999,next_open,-0.8362499999999998,-1188.7499999999995
2025-07-09,2025-07-10,bear,1.6,0.8,25950,26200,248.4,-240.0,next_open,-0.24,-1428.7499999999995
2025-07-14,2025-07-15,bear,8.75,8.85,25550,25800,241.25,-307.5,next_open,-0.3075,-1736.2499999999995
2025-07-16,2025-07-17,bear,1.7000000000000002,0.8,25600,25900,298.3,-232.5,next_open,-0.23249999999999998,-1968.7499999999995
2025-08-01,2025-08-04,bear,16.9,17.5,25000,25250,233.1,-345.0000000000001,next_open,-0.34500000000000014,-2313.7499999999995
2025-08-05,2025-08-06,bear,3.15,2.5,25100,25350,246.85,-251.25,next_open,-0.25125,-2564.9999999999995
2025-08-06,2025-08-07,bear,1.9000000000000001,0.3500000000000001,25000,25250,248.1,-183.75,next_open,-0.18375,-2748.7499999999995
2025-08-08,2025-08-11,bear,15.45,12.8,24800,25050,234.55,-101.25000000000011,next_open,-0.1012500000000001,-2849.9999999999995
2025-08-12,2025-08-13,bear,3.7,4.550000000000001,24900,25150,246.3,-363.75000000000006,next_open,-0.3637500000000001,-3213.7499999999995
2025-08-29,2025-09-01,bull,12.6,11.25,24200,23950,237.4,-198.75000000000003,next_open,-0.19875,-3412.4999999999995
2025-09-01,2025-09-02,bull,5.3500000000000005,1.6,24400,24150,244.65,-18.749999999999943,next_open,-0.018749999999999944,-3431.2499999999995
2025-09-03,2025-09-04,bull,19.35,4.700000000000001,24450,24200,230.65,798.75,next_open,0.79875,-2632.4999999999995
2025-09-04,2025-09-05,bull,13.049999999999999,10.4,24450,24200,236.95,-101.25000000000011,next_open,-0.1012500000000001,-2733.7499999999995
2025-09-05,2025-09-08,bull,7.500000000000001,3.65,24450,24250,192.5,-11.249999999999943,next_open,-0.011249999999999942,-2744.9999999999995
2025-09-10,2025-09-11,bull,15.45,19.6,24700,24450,234.55,-611.2500000000002,next_open,-0.6112500000000003,-3356.25
2025-09-15,2025-09-16,bear,0.6000000000000001,0.3500000000000001,25550,25800,249.4,-281.25,next_open,-0.28125,-3637.5
2025-10-01,2025-10-03,bull,16.15,12.75,24600,24350,233.85,-45.000000000000114,next_open,-0.04500000000000011,-3682.5
2025-10-03,2025-10-06,bull,9.450000000000001,7.45,24650,24400,240.55,-149.99999999999994,next_open,-0.14999999999999994,-3832.5
2025-10-06,2025-10-07,bull,2.2500000000000004,2.05,24800,24550,247.75,-284.99999999999994,next_open,-0.2849999999999999,-4117.5
2025-10-15,2025-10-16,bull,13.649999999999999,12.6,25050,24800,236.35,-221.25000000000009,next_open,-0.22125000000000009,-4338.75
2025-10-21,2025-10-23,bear,14.15,33.5,26300,26550,235.85,-1751.25,next_open,-1.75125,-6090.0
2025-10-29,2025-10-30,bull,32.150000000000006,37.75,25850,25600,217.85,-719.9999999999995,next_open,-0.7199999999999995,-6810.0
2025-10-30,2025-10-31,bear,8.35,5.749999999999999,26400,26700,291.65,-104.99999999999997,next_open,-0.10499999999999997,-6915.0
2025-10-31,2025-11-03,bear,4.950000000000001,2.1,26300,26550,245.05,-86.24999999999991,next_open,-0.08624999999999991,-7001.25
2025-11-07,2025-11-10,bear,3.0,2.45,25950,26250,297.0,-258.75,next_open,-0.25875,-7260.0
2025-11-14,2025-11-17,bear,6.1,5.2,26350,26600,243.9,-232.50000000000006,next_open,-0.23250000000000007,-7492.5
2025-11-26,2025-11-27,bull,39.8,32.1,26000,25700,260.2,277.49999999999966,next_open,0.2774999999999997,-7215.0
2025-12-01,2025-12-02,bear,0.34999999999999987,0.29999999999999993,26750,27000,249.65,-296.25,next_open,-0.29625,-7511.25
2025-12-03,2025-12-04,bear,5.449999999999999,4.5,26550,26800,244.55,-228.75000000000006,next_open,-0.22875000000000004,-7740.0
2025-12-08,2025-12-09,bear,0.8000000000000003,2.0,26450,26700,249.2,-390.0,next_open,-0.38999999999999996,-8130.0
2025-12-10,2025-12-11,bear,10.0,9.75,26250,26500,240.0,-281.25,next_open,-0.28125,-8411.25
2025-12-12,2025-12-15,bull,5.700000000000001,11.0,25750,25500,244.3,-697.5,next_open,-0.6975,-9108.75
2025-12-17,2025-12-18,bear,6.549999999999999,8.35,26300,26550,243.45,-435.00000000000006,next_open,-0.43500000000000005,-9543.75
2025-12-31,2026-01-01,bull,15.9,6.800000000000001,25900,25650,234.1,382.5,next_open,0.3825,-9161.25
2026-01-05,2026-01-06,bear,0.34999999999999987,0.0,26750,27000,249.65,-273.75,next_open,-0.27375,-9435.0
2026-01-07,2026-01-08,bear,2.5,2.1500000000000004,26650,26900,247.5,-273.75,next_open,-0.27375,-9708.75
2026-01-08,2026-01-09,bear,2.6,2.1000000000000005,26400,26650,247.4,-262.50000000000006,next_open,-0.26250000000000007,-9971.25
2026-01-09,2026-01-12,bear,4.6,2.95,26200,26450,245.4,-176.25000000000006,next_open,-0.17625000000000007,-10147.5
2026-01-28,2026-01-29,bull,46.25,47.25,25050,24800,203.75,-375.0,next_open,-0.375,-10522.5
2026-01-29,2026-01-30,bull,41.35,40.5,25150,24900,208.65,-236.2499999999999,next_open,-0.23624999999999988,-10758.75
2026-01-30,2026-02-02,bear,27.450000000000003,1.0,25800,26050,222.55,1683.7500000000002,next_open,1.68375,-9075.0
2026-02-05,2026-02-06,bear,10.6,8.6,26100,26350,239.4,-150.0,next_open,-0.15,-9225.0
2026-02-06,2026-02-09,bull,9.8,10.2,25350,25100,240.2,-329.9999999999999,next_open,-0.32999999999999985,-9555.0
2026-02-11,2026-02-12,bull,13.650000000000002,11.650000000000002,25600,25350,236.35,-150.0,next_open,-0.15,-9705.0
2026-02-12,2026-02-13,bear,5.8999999999999995,5.2,26250,26500,244.1,-247.50000000000006,next_open,-0.24750000000000005,-9952.5
2026-02-13,2026-02-16,bear,9.5,9.5,25900,26150,240.5,-300.0,next_open,-0.3,-10252.5
2026-02-25,2026-02-26,bull,33.650000000000006,32.2,25250,25000,216.35,-191.24999999999977,next_open,-0.19124999999999978,-10443.75
2026-02-26,2026-02-27,bull,22.45,27.95,25250,25000,227.55,-712.5,next_open,-0.7125,-11156.25
