entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-18,2025-06-19,bear,6.8999999999999995,4.55,25100,25250,143.1,-123.75000000000003,next_open,-0.12375000000000003,-123.75000000000003
2025-06-30,2025-07-01,bear,18.45,20.75,25850,26050,181.55,-472.50000000000006,next_open,-0.4725000000000001,-596.2500000000001
2025-07-02,2025-07-03,bear,3.75,3.5,25800,26000,196.25,-281.25,next_open,-0.28125,-877.5000000000001
2025-07-11,2025-07-14,bear,15.150000000000002,12.3,25500,25650,134.85,-86.24999999999989,next_open,-0.0862499999999999,-963.75
2025-07-14,2025-07-15,bear,16.5,18.8,25400,25600,183.5,-472.50000000000006,next_open,-0.4725000000000001,-1436.25
2025-07-18,2025-07-21,bear,17.950000000000003,17.45,25300,25450,132.05,-262.4999999999997,next_open,-0.26249999999999973,-1698.7499999999998
2025-07-22,2025-07-23,bear,5.35,5.9,25350,25500,144.65,-341.25000000000006,next_open,-0.34125000000000005,-2039.9999999999998
2025-07-25,2025-07-28,bear,20.0,20.0,25100,25250,130.0,-300.0,next_open,-0.3,-2340.0
2025-07-28,2025-07-29,bear,20.25,14.399999999999999,24950,25150,179.75,138.7500000000001,next_open,0.13875000000000012,-2201.25
2025-08-01,2025-08-04,bear,30.0,23.85,24850,25050,170.0,161.2499999999999,next_open,0.1612499999999999,-2040.0
2025-08-06,2025-08-07,bear,3.4000000000000004,0.25,24900,25050,146.6,-63.74999999999997,next_open,-0.06374999999999997,-2103.75
2025-08-08,2025-08-11,bear,18.849999999999998,17.0,24700,24850,131.15,-161.25000000000017,next_open,-0.16125000000000017,-2265.0
2025-08-12,2025-08-13,bear,7.15,9.1,24800,24950,142.85,-446.24999999999994,next_open,-0.4462499999999999,-2711.25
2025-08-20,2025-08-21,bull,7.499999999999999,3.4999999999999996,24850,24650,192.5,-5.684341886080802e-14,next_open,-5.684341886080802e-17,-2711.25
2025-08-22,2025-08-25,bear,17.950000000000003,23.25,25150,25300,132.05,-697.4999999999998,next_open,-0.6974999999999998,-3408.75
2025-08-26,2025-08-28,bear,7.299999999999999,3.7,25000,25150,142.7,-30.000000000000114,next_open,-0.03000000000000011,-3438.75
2025-08-29,2025-09-01,bear,6.65,6.6499999999999995,24800,25000,193.35,-299.99999999999994,next_open,-0.3,-3738.75
2025-09-12,2025-09-15,bull,12.049999999999999,12.15,24950,24800,137.95,-307.5000000000001,next_open,-0.3075000000000001,-4046.25
2025-09-22,2025-09-23,bear,2.0500000000000003,1.5,25550,25700,147.95,-258.75,next_open,-0.25875,-4305.0
2025-09-25,2025-09-26,bear,16.75,7.949999999999999,25200,25400,183.25,360.0,next_open,0.36,-3945.0
2025-09-26,2025-09-29,bear,10.05,14.7,24950,25100,139.95,-648.7499999999999,next_open,-0.6487499999999998,-4593.75
