entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-18,2025-06-19,bear,4.2,2.6,25200,25450,245.8,-180.0,next_open,-0.18,-180.0
2025-06-30,2025-07-01,bear,9.75,9.75,26000,26250,240.25,-300.0,next_open,-0.3,-480.0
2025-07-02,2025-07-03,bear,1.35,0.7,25950,26200,248.65,-251.25,next_open,-0.25125,-731.25
2025-07-11,2025-07-14,bear,12.7,11.75,25600,25850,237.3,-228.75000000000006,next_open,-0.22875000000000004,-960.0
2025-07-14,2025-07-15,bear,8.75,8.85,25550,25800,241.25,-307.5,next_open,-0.3075,-1267.5
2025-07-18,2025-07-21,bear,15.049999999999999,18.85,25400,25650,234.95,-585.0000000000002,next_open,-0.5850000000000002,-1852.5000000000002
2025-07-22,2025-07-23,bear,2.85,3.55,25450,25700,247.15,-352.5,next_open,-0.3525,-2205.0
2025-07-25,2025-07-28,bear,17.2,10.4,25200,25450,232.8,209.99999999999994,next_open,0.20999999999999994,-1995.0
2025-07-28,2025-07-29,bear,11.55,9.8,25100,25350,238.45,-168.75,next_open,-0.16875,-2163.75
2025-08-01,2025-08-04,bear,16.9,17.5,25000,25250,233.1,-345.0000000000001,next_open,-0.34500000000000014,-2508.75
2025-08-06,2025-08-07,bear,1.9000000000000001,0.3500000000000001,25000,25250,248.1,-183.75,next_open,-0.18375,-2692.5
2025-08-08,2025-08-11,bear,15.45,12.8,24800,25050,234.55,-101.25000000000011,next_open,-0.1012500000000001,-2793.75
2025-08-12,2025-08-13,bear,3.7,4.550000000000001,24900,25150,246.3,-363.75000000000006,next_open,-0.3637500000000001,-3157.5
2025-08-20,2025-08-21,bull,2.6500000000000004,0.8999999999999999,24700,24450,247.35,-168.74999999999997,next_open,-0.16874999999999998,-3326.25
2025-08-22,2025-08-25,bear,13.1,17.1,25250,25500,236.9,-600.0000000000001,next_open,-0.6000000000000001,-3926.25
2025-08-26,2025-08-28,bear,4.55,1.7000000000000002,25100,25350,245.45,-86.25000000000003,next_open,-0.08625000000000003,-4012.5
2025-08-29,2025-09-01,bear,2.5999999999999996,3.25,24950,25200,247.4,-348.75,next_open,-0.34875,-4361.25
2025-09-12,2025-09-15,bull,8.25,6.85,24850,24550,291.75,-194.99999999999997,next_open,-0.19499999999999998,-4556.25
2025-09-22,2025-09-23,bear,1.15,1.2,25650,25900,248.85,-303.75,next_open,-0.30374999999999996,-4860.0
2025-09-25,2025-09-26,bear,7.45,5.55,25350,25600,242.55,-157.49999999999997,next_open,-0.15749999999999997,-5017.5
2025-09-26,2025-09-29,bear,7.2,5.8500000000000005,25050,25300,242.8,-198.75000000000003,next_open,-0.19875,-5216.25
2025-09-29,2025-09-30,bear,1.5500000000000003,1.4500000000000002,25050,25300,248.45,-292.5,next_open,-0.2925,-5508.75
2025-10-06,2025-10-07,bull,2.2500000000000004,2.05,24800,24550,247.75,-284.99999999999994,next_open,-0.2849999999999999,-5793.75
2025-10-08,2025-10-09,bear,5.65,5.8,25500,25750,244.35,-311.24999999999994,next_open,-0.3112499999999999,-6105.0
2025-10-10,2025-10-13,bull,7.1,13.5,25050,24800,242.9,-780.0,next_open,-0.7799999999999999,-6885.0
2025-10-16,2025-10-17,bull,9.8,12.149999999999999,25250,25000,240.2,-476.24999999999983,next_open,-0.47624999999999984,-7361.25
2025-10-24,2025-10-27,bear,7.2,9.600000000000001,26200,26450,242.8,-480.0000000000001,next_open,-0.48000000000000015,-7841.25
2025-10-30,2025-10-31,bear,8.35,5.749999999999999,26400,26700,291.65,-104.99999999999997,next_open,-0.10499999999999997,-7946.25
2025-10-31,2025-11-03,bear,4.950000000000001,2.1,26300,26550,245.05,-86.24999999999991,next_open,-0.08624999999999991,-8032.5
2025-11-03,2025-11-04,bear,1.0,0.55,26300,26550,249.0,-266.25,next_open,-0.26625,-8298.75
2025-11-06,2025-11-07,bear,5.300000000000001,3.2,26000,26250,244.7,-142.49999999999997,next_open,-0.14249999999999996,-8441.25
2025-11-12,2025-11-13,bull,20.950000000000003,22.4,25600,25350,229.05,-408.74999999999966,next_open,-0.40874999999999967,-8850.0
2025-11-20,2025-11-21,bull,15.049999999999999,22.8,25850,25550,284.95,-881.2500000000001,next_open,-0.8812500000000001,-9731.25
2025-11-24,2025-11-25,bear,1.4999999999999998,1.4,26400,26650,248.5,-292.5,next_open,-0.2925,-10023.75
2025-11-26,2025-11-27,bull,39.8,32.1,26000,25700,260.2,277.49999999999966,next_open,0.2774999999999997,-9746.25
2025-12-03,2025-12-04,bear,5.449999999999999,4.5,26550,26800,244.55,-228.75000000000006,next_open,-0.22875000000000004,-9975.0
2025-12-08,2025-12-09,bear,0.8000000000000003,2.0,26450,26700,249.2,-390.0,next_open,-0.38999999999999996,-10365.0
2025-12-10,2025-12-11,bear,10.0,9.75,26250,26500,240.0,-281.25,next_open,-0.28125,-10646.25
2025-12-17,2025-12-18,bear,6.549999999999999,8.35,26300,26550,243.45,-435.00000000000006,next_open,-0.43500000000000005,-11081.25
2025-12-18,2025-12-19,bear,5.25,6.55,26250,26550,294.75,-397.5,next_open,-0.3975,-11478.75
2025-12-22,2025-12-23,bull,1.6000000000000005,1.0000000000000002,25800,25550,248.4,-254.99999999999997,next_open,-0.25499999999999995,-11733.75
2025-12-26,2025-12-29,bear,1.5499999999999998,1.15,26450,26700,248.45,-270.0,next_open,-0.27,-12003.75
2025-12-29,2025-12-30,bear,1.0999999999999999,0.85,26350,26600,248.9,-281.25,next_open,-0.28125,-12285.0
2025-12-31,2026-01-01,bull,15.9,6.800000000000001,25900,25650,234.1,382.5,next_open,0.3825,-11902.5
2026-01-02,2026-01-05,bull,5.75,1.7000000000000002,26050,25800,244.25,3.75,next_open,0.00375,-11898.75
2026-01-08,2026-01-09,bear,2.6,2.1000000000000005,26400,26650,247.4,-262.50000000000006,next_open,-0.26250000000000007,-12161.25
