entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-16,2025-06-17,bull,30.1,28.050000000000004,24750,24550,169.9,-146.25000000000023,next_open,-0.1462500000000002,-146.25000000000023
2025-06-17,2025-06-18,bull,17.0,19.9,24600,24450,133.0,-517.4999999999999,next_open,-0.5174999999999998,-663.7500000000001
2025-06-18,2025-06-19,bull,16.799999999999997,12.95,24600,24400,183.2,-11.25000000000017,next_open,-0.01125000000000017,-675.0000000000002
2025-06-20,2025-06-23,bull,23.700000000000003,30.099999999999994,24850,24700,126.3,-779.9999999999993,next_open,-0.7799999999999994,-1454.9999999999995
2025-06-23,2025-06-24,bull,27.400000000000006,13.350000000000001,24750,24550,172.6,753.7500000000002,next_open,0.7537500000000003,-701.2499999999993
2025-06-25,2025-06-26,bull,10.3,3.95,25000,24800,189.7,176.25000000000006,next_open,0.17625000000000007,-524.9999999999993
2025-06-27,2025-06-30,bull,40.7,39.849999999999994,25500,25300,159.3,-236.24999999999937,next_open,-0.2362499999999994,-761.2499999999986
2025-06-30,2025-07-01,bull,29.349999999999998,22.650000000000002,25350,25200,120.65,202.49999999999966,next_open,0.20249999999999965,-558.749999999999
2025-07-01,2025-07-02,bull,22.85,15.950000000000001,25400,25200,177.15,217.5,next_open,0.21749999999999997,-341.249999999999
2025-07-02,2025-07-03,bull,15.75,13.649999999999999,25300,25100,184.25,-142.4999999999999,next_open,-0.1424999999999999,-483.74999999999886
2025-07-04,2025-07-07,bull,39.199999999999996,46.85,25300,25100,160.8,-873.7500000000005,next_open,-0.8737500000000004,-1357.4999999999993
2025-07-07,2025-07-08,bull,31.599999999999998,37.6,25300,25100,168.4,-750.0000000000002,next_open,-0.7500000000000002,-2107.4999999999995
2025-07-08,2025-07-09,bull,15.299999999999999,18.5,25350,25200,134.7,-540.0000000000001,next_open,-0.5400000000000001,-2647.4999999999995
2025-07-09,2025-07-10,bull,10.850000000000001,6.65,25300,25100,189.15,15.000000000000057,next_open,0.015000000000000055,-2632.4999999999995
2025-07-11,2025-07-14,bull,20.549999999999997,21.35,24950,24800,129.45,-360.00000000000034,next_open,-0.3600000000000003,-2992.5
2025-07-14,2025-07-15,bull,17.300000000000004,9.450000000000001,24900,24750,132.7,288.7500000000002,next_open,0.28875000000000023,-2703.75
2025-07-15,2025-07-16,bull,9.9,8.95,25000,24850,140.1,-228.74999999999991,next_open,-0.22874999999999993,-2932.5
2025-07-16,2025-07-17,bull,6.1499999999999995,4.55,25000,24800,193.85,-180.00000000000003,next_open,-0.18000000000000005,-3112.5
2025-07-18,2025-07-21,bull,28.45,32.8,24800,24600,171.55,-626.2499999999998,next_open,-0.6262499999999999,-3738.75
2025-07-21,2025-07-22,bull,18.4,14.95,24900,24700,181.6,-41.25000000000006,next_open,-0.04125000000000006,-3780.0
2025-07-22,2025-07-23,bull,10.0,7.199999999999999,24850,24650,190.0,-89.99999999999994,next_open,-0.08999999999999994,-3870.0
2025-07-23,2025-07-24,bull,4.25,3.6,25000,24800,195.75,-251.25,next_open,-0.25125,-4121.25
2025-07-28,2025-07-29,bear,20.25,14.399999999999999,24950,25150,179.75,138.7500000000001,next_open,0.13875000000000012,-3982.5
2025-08-01,2025-08-04,bull,43.050000000000004,41.2,24400,24200,156.95,-161.2499999999999,next_open,-0.1612499999999999,-4143.75
