entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-07-15,2025-07-16,bear,8.3,9.0,25500,25700,191.7,-352.49999999999994,next_open,-0.3524999999999999,-352.49999999999994
2025-07-16,2025-07-17,bull,6.1499999999999995,4.55,25000,24800,193.85,-180.00000000000003,next_open,-0.18000000000000005,-532.5
2025-07-18,2025-07-21,bear,17.950000000000003,17.45,25300,25450,132.05,-262.4999999999997,next_open,-0.26249999999999973,-794.9999999999998
2025-07-21,2025-07-22,bear,10.399999999999999,12.7,25400,25550,139.6,-472.50000000000006,next_open,-0.4725000000000001,-1267.4999999999998
2025-07-22,2025-07-23,bear,5.35,5.9,25350,25500,144.65,-341.25000000000006,next_open,-0.34125000000000005,-1608.7499999999998
2025-07-23,2025-07-24,bull,4.25,3.6,25000,24800,195.75,-251.25,next_open,-0.25125,-1859.9999999999998
2025-08-19,2025-08-20,bull,13.3,15.45,24800,24600,186.7,-461.2499999999999,next_open,-0.4612499999999998,-2321.2499999999995
2025-08-20,2025-08-21,bull,7.499999999999999,3.4999999999999996,24850,24650,192.5,-5.684341886080802e-14,next_open,-5.684341886080802e-17,-2321.2499999999995
2025-08-25,2025-08-26,bear,7.249999999999999,5.2,25250,25400,142.75,-146.25000000000009,next_open,-0.1462500000000001,-2467.4999999999995
2025-09-04,2025-09-05,bull,29.050000000000004,18.5,24600,24400,170.95,491.25000000000034,next_open,0.49125000000000035,-1976.249999999999
2025-09-05,2025-09-08,bull,17.75,14.0,24600,24450,132.25,-18.75,next_open,-0.01875,-1994.999999999999
2025-09-08,2025-09-09,bull,11.7,3.1999999999999997,24650,24450,188.3,337.5,next_open,0.3375,-1657.499999999999
2025-09-10,2025-09-11,bull,19.3,18.05,24800,24650,130.7,-206.25,next_open,-0.20625000000000002,-1863.749999999999
2025-09-11,2025-09-12,bull,17.049999999999997,10.250000000000002,24850,24700,132.95,209.99999999999966,next_open,0.20999999999999963,-1653.7499999999995
2025-09-12,2025-09-15,bull,12.049999999999999,12.15,24950,24800,137.95,-307.5000000000001,next_open,-0.3075000000000001,-1961.2499999999995
2025-09-15,2025-09-16,bull,4.699999999999999,3.5,24900,24750,145.3,-210.00000000000006,next_open,-0.21000000000000008,-2171.2499999999995
2025-09-17,2025-09-18,bull,16.55,15.7,25150,25000,133.45,-236.2499999999999,next_open,-0.23624999999999988,-2407.4999999999995
2025-09-18,2025-09-19,bull,10.35,11.3,25250,25100,139.65,-371.2500000000001,next_open,-0.3712500000000001,-2778.7499999999995
2025-09-19,2025-09-22,bull,8.5,13.100000000000001,25150,25000,141.5,-645.0000000000001,next_open,-0.6450000000000001,-3423.7499999999995
2025-09-24,2025-09-25,bear,17.9,15.549999999999999,25350,25550,182.1,-123.75000000000003,next_open,-0.12375000000000003,-3547.4999999999995
2025-09-25,2025-09-26,bear,16.75,7.949999999999999,25200,25400,183.25,360.0,next_open,0.36,-3187.4999999999995
2025-09-26,2025-09-29,bear,10.05,14.7,24950,25100,139.95,-648.7499999999999,next_open,-0.6487499999999998,-3836.2499999999995
2025-09-29,2025-09-30,bear,2.25,2.9000000000000004,24950,25100,147.75,-348.75,next_open,-0.34875,-4185.0
2025-10-09,2025-10-10,bull,13.1,11.65,25000,24850,136.9,-191.25000000000006,next_open,-0.19125000000000006,-4376.25
2025-10-10,2025-10-13,bull,11.349999999999998,42.45,25150,25000,138.65,-2632.5000000000005,next_open,-2.6325000000000003,-7008.75
2025-10-13,2025-10-14,bull,6.35,5.6499999999999995,25050,24900,143.65,-247.5,next_open,-0.24750000000000003,-7256.25
2025-10-15,2025-10-16,bull,16.25,8.35,25150,25000,133.75,292.5,next_open,0.2925,-6963.75
2025-10-21,2025-10-23,bull,27.15,-0.9499999999999993,25650,25450,172.85,1807.5,next_open,1.8075,-5156.25
2025-10-23,2025-10-24,bull,15.299999999999997,10.2,25700,25550,134.7,82.49999999999983,next_open,0.08249999999999982,-5073.75
2025-10-24,2025-10-27,bear,15.75,15.399999999999999,26050,26250,184.25,-273.7499999999999,next_open,-0.2737499999999999,-5347.5
2025-10-27,2025-10-28,bull,6.6499999999999995,7.799999999999999,25750,25550,193.35,-386.24999999999994,next_open,-0.38625,-5733.75
2025-11-06,2025-11-07,bear,7.8999999999999995,5.65,25900,26050,142.1,-131.25000000000006,next_open,-0.13125000000000006,-5865.0
2025-11-07,2025-11-10,bear,4.949999999999999,6.2,25850,26000,145.05,-393.75000000000006,next_open,-0.3937500000000001,-6258.75
2025-11-10,2025-11-11,bear,1.2000000000000002,0.30000000000000004,25950,26150,198.8,-232.5,next_open,-0.23249999999999998,-6491.25
2025-11-12,2025-11-13,bull,34.8,38.74999999999999,25750,25550,165.2,-596.2499999999997,next_open,-0.5962499999999996,-7087.5
2025-11-13,2025-11-14,bull,32.65,60.85,25700,25500,167.35,-2415.0,next_open,-2.415,-9502.5
2025-11-14,2025-11-17,bull,22.799999999999997,11.5,25700,25500,177.2,547.4999999999998,next_open,0.5474999999999998,-8955.0
2025-11-17,2025-11-18,bull,7.75,6.6,25800,25600,192.25,-213.74999999999997,next_open,-0.21374999999999997,-9168.75
2025-11-19,2025-11-20,bull,23.95,23.9,25800,25650,126.05,-296.24999999999994,next_open,-0.29624999999999996,-9465.0
2025-11-20,2025-11-21,bull,17.849999999999998,20.3,25950,25800,132.15,-483.7500000000002,next_open,-0.48375000000000024,-9948.75
2025-11-21,2025-11-24,bull,13.3,11.55,25800,25650,136.7,-168.75,next_open,-0.16875,-10117.5
2025-11-24,2025-11-25,bear,5.65,2.1,26250,26450,194.35,-33.75,next_open,-0.03375,-10151.25
2025-12-03,2025-12-04,bear,11.8,10.950000000000001,26400,26600,188.2,-236.25000000000003,next_open,-0.23625000000000004,-10387.5
2025-12-04,2025-12-05,bear,6.9,7.250000000000001,26450,26650,193.1,-326.25000000000006,next_open,-0.32625000000000004,-10713.75
2025-12-05,2025-12-08,bull,17.7,19.25,26050,25900,132.3,-416.25000000000006,next_open,-0.41625000000000006,-11130.0
2025-12-08,2025-12-09,bear,1.0499999999999998,0.34999999999999987,26350,26500,148.95,-247.5,next_open,-0.24750000000000003,-11377.5
2025-12-10,2025-12-11,bear,19.800000000000004,22.0,26100,26300,180.2,-464.99999999999966,next_open,-0.4649999999999997,-11842.5
2025-12-15,2025-12-16,bull,7.1,8.35,25850,25650,192.9,-393.75,next_open,-0.39375,-12236.25
2025-12-17,2025-12-18,bear,16.55,12.0,26150,26350,183.45,41.25000000000006,next_open,0.04125000000000006,-12195.0
2025-12-18,2025-12-19,bear,8.95,12.0,26150,26300,141.05,-528.75,next_open,-0.5287499999999999,-12723.75
2025-12-19,2025-12-22,bull,9.05,5.05,25750,25600,140.95,5.684341886080802e-14,next_open,5.684341886080802e-17,-12723.75
2025-12-22,2025-12-23,bull,4.949999999999999,3.65,25950,25750,195.05,-202.50000000000006,next_open,-0.20250000000000007,-12926.25
2025-12-24,2025-12-26,bull,8.350000000000001,7.1000000000000005,25900,25750,141.65,-206.24999999999994,next_open,-0.20624999999999993,-13132.5
2025-12-29,2025-12-30,bear,2.8000000000000003,1.9500000000000002,26200,26400,197.2,-236.25,next_open,-0.23625000000000002,-13368.75
2026-01-07,2026-01-08,bear,6.3500000000000005,4.95,26500,26700,193.65,-194.99999999999997,next_open,-0.19499999999999998,-13563.75
2026-01-09,2026-01-12,bear,8.150000000000002,5.95,26050,26250,191.85,-134.99999999999986,next_open,-0.13499999999999984,-13698.75
2026-01-12,2026-01-13,bear,2.3999999999999995,2.2,26150,26300,147.6,-285.00000000000006,next_open,-0.28500000000000003,-13983.75
2026-01-14,2026-01-16,bear,15.55,13.8,26000,26150,134.45,-168.75,next_open,-0.16875,-14152.5
2026-01-16,2026-01-19,bear,14.2,6.450000000000001,26000,26200,185.8,281.2499999999999,next_open,0.2812499999999999,-13871.25
2026-01-19,2026-01-20,bear,3.6000000000000005,2.1,25850,26050,196.4,-187.49999999999997,next_open,-0.18749999999999997,-14058.75
2026-01-21,2026-01-22,bear,25.999999999999996,50.0,25450,25600,124.0,-2100.0,next_open,-2.1,-16158.75
2026-02-11,2026-02-12,bull,25.400000000000002,29.400000000000002,25750,25550,174.6,-600.0,next_open,-0.6,-16758.75
2026-02-12,2026-02-13,bear,16.25,5.7,26100,26300,183.75,491.25,next_open,0.49125,-16267.5
