entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-07-15,2025-07-16,bear,1.35,0.75,25750,26050,298.65,-255.0,next_open,-0.255,-255.0
2025-07-16,2025-07-17,bull,0.9500000000000002,0.04999999999999993,24750,24450,299.05,-232.5,next_open,-0.23249999999999998,-487.5
2025-07-18,2025-07-21,bear,7.6499999999999995,7.6,25550,25850,292.35,-296.25,next_open,-0.29625,-783.75
2025-07-21,2025-07-22,bear,2.9000000000000004,2.4,25650,25950,297.1,-262.49999999999994,next_open,-0.26249999999999996,-1046.25
2025-07-22,2025-07-23,bear,1.05,1.0499999999999998,25600,25900,298.95,-300.0,next_open,-0.3,-1346.25
2025-07-23,2025-07-24,bull,0.9500000000000002,0.7,24750,24450,299.05,-281.25,next_open,-0.28125,-1627.5
2025-08-19,2025-08-20,bull,2.6500000000000004,2.45,24550,24250,297.35,-285.0,next_open,-0.28500000000000003,-1912.5
2025-08-20,2025-08-21,bull,1.65,0.5499999999999999,24600,24300,298.35,-217.5,next_open,-0.21749999999999997,-2130.0
2025-08-25,2025-08-26,bear,1.6500000000000001,2.25,25500,25800,298.35,-345.0,next_open,-0.345,-2475.0
2025-09-04,2025-09-05,bull,7.65,4.95,24350,24050,292.35,-97.5,next_open,-0.09749999999999999,-2572.5
2025-09-05,2025-09-08,bull,4.25,2.85,24350,24050,295.75,-195.0,next_open,-0.19499999999999998,-2767.5
2025-09-08,2025-09-09,bull,2.4,0.85,24400,24100,297.6,-183.75,next_open,-0.18375,-2951.25
2025-09-10,2025-09-11,bull,7.549999999999999,7.550000000000001,24550,24250,292.45,-300.0000000000001,next_open,-0.3000000000000001,-3251.25
2025-09-11,2025-09-12,bull,5.05,3.1499999999999995,24600,24300,294.95,-157.49999999999997,next_open,-0.15749999999999997,-3408.75
2025-09-12,2025-09-15,bull,3.3500000000000005,1.9,24700,24400,296.65,-191.24999999999994,next_open,-0.19124999999999995,-3600.0
2025-09-15,2025-09-16,bull,1.2,0.75,24650,24350,298.8,-266.25,next_open,-0.26625,-3866.25
2025-09-17,2025-09-18,bull,6.300000000000001,3.6999999999999993,24900,24600,293.7,-104.99999999999989,next_open,-0.10499999999999989,-3971.25
2025-09-18,2025-09-19,bull,3.1500000000000004,4.2,25000,24700,296.85,-378.75,next_open,-0.37875000000000003,-4350.0
2025-09-19,2025-09-22,bull,1.6999999999999997,2.4000000000000004,24900,24600,298.3,-352.50000000000006,next_open,-0.35250000000000004,-4702.5
2025-09-24,2025-09-25,bear,4.6499999999999995,4.300000000000001,25600,25900,295.35,-273.7500000000001,next_open,-0.2737500000000001,-4976.25
2025-09-25,2025-09-26,bear,4.45,2.6500000000000004,25450,25750,295.55,-165.0,next_open,-0.165,-5141.25
2025-09-26,2025-09-29,bear,3.1000000000000005,4.0,25200,25500,296.9,-367.49999999999994,next_open,-0.36749999999999994,-5508.75
2025-09-29,2025-09-30,bear,0.8999999999999999,1.4500000000000002,25200,25450,249.1,-341.25,next_open,-0.34125,-5850.0
2025-10-09,2025-10-10,bull,3.4000000000000004,2.8,24750,24450,296.6,-254.99999999999994,next_open,-0.25499999999999995,-6105.0
2025-10-10,2025-10-13,bull,2.6000000000000005,3.6,24900,24600,297.4,-375.0,next_open,-0.375,-6480.0
2025-10-13,2025-10-14,bull,1.65,0.7999999999999998,24800,24500,298.35,-236.25,next_open,-0.23625000000000002,-6716.25
2025-10-15,2025-10-16,bull,6.950000000000001,4.549999999999999,24900,24600,293.05,-119.99999999999983,next_open,-0.11999999999999984,-6836.25
2025-10-21,2025-10-23,bull,10.149999999999999,3.4000000000000004,25400,25100,289.85,206.2499999999999,next_open,0.20624999999999988,-6630.0
2025-10-23,2025-10-24,bull,5.699999999999999,4.55,25450,25150,294.3,-213.75000000000006,next_open,-0.21375000000000005,-6843.75
2025-10-24,2025-10-27,bear,3.75,3.0999999999999996,26350,26650,296.25,-251.24999999999997,next_open,-0.25125,-7095.0
2025-10-27,2025-10-28,bull,1.7999999999999998,0.7999999999999998,25500,25200,298.2,-225.0,next_open,-0.22499999999999998,-7320.0
2025-11-06,2025-11-07,bear,2.05,1.6500000000000001,26150,26450,297.95,-270.0,next_open,-0.27,-7590.0
2025-11-07,2025-11-10,bear,1.15,0.5499999999999999,26100,26400,298.85,-255.0,next_open,-0.255,-7845.0
2025-11-10,2025-11-11,bear,0.45000000000000007,0.25,26200,26500,299.55,-285.0,next_open,-0.28500000000000003,-8130.0
2025-11-12,2025-11-13,bull,12.1,13.05,25450,25150,287.9,-371.2500000000001,next_open,-0.3712500000000001,-8501.25
2025-11-13,2025-11-14,bull,16.45,16.75,25450,25100,333.55,-322.50000000000006,next_open,-0.32250000000000006,-8823.75
2025-11-14,2025-11-17,bull,6.0,3.6500000000000004,25450,25100,344.0,-123.75000000000003,next_open,-0.12375000000000003,-8947.5
2025-11-17,2025-11-18,bull,1.15,1.2999999999999998,25550,25250,298.85,-311.25,next_open,-0.31124999999999997,-9258.75
2025-11-19,2025-11-20,bull,12.25,13.4,25550,25250,287.75,-386.25,next_open,-0.38625,-9645.0
2025-11-20,2025-11-21,bull,6.049999999999999,8.55,25700,25400,293.95,-487.5000000000001,next_open,-0.4875000000000001,-10132.5
2025-11-21,2025-11-24,bull,3.7499999999999996,1.9500000000000002,25550,25250,296.25,-165.00000000000006,next_open,-0.16500000000000006,-10297.5
2025-11-24,2025-11-25,bear,1.0,0.5,26500,26850,349.0,-262.5,next_open,-0.2625,-10560.0
2025-12-03,2025-12-04,bear,3.45,3.5,26650,26950,296.55,-303.75,next_open,-0.30374999999999996,-10863.75
2025-12-04,2025-12-05,bear,1.3000000000000003,1.15,26700,27000,298.7,-288.75,next_open,-0.28875,-11152.5
2025-12-05,2025-12-08,bull,3.1000000000000005,2.1,25800,25500,296.9,-224.99999999999997,next_open,-0.22499999999999998,-11377.5
2025-12-08,2025-12-09,bear,0.5499999999999998,0.25,26600,26900,299.45,-277.5,next_open,-0.2775,-11655.0
2025-12-10,2025-12-11,bear,4.449999999999999,4.4,26400,26700,295.55,-296.25000000000006,next_open,-0.29625000000000007,-11951.25
2025-12-15,2025-12-16,bull,1.2000000000000002,0.9500000000000002,25600,25250,348.8,-281.25,next_open,-0.28125,-12232.5
2025-12-17,2025-12-18,bear,4.05,2.95,26400,26750,345.95,-217.50000000000003,next_open,-0.21750000000000003,-12450.0
2025-12-18,2025-12-19,bear,1.8000000000000003,2.5000000000000004,26400,26700,298.2,-352.5,next_open,-0.3525,-12802.5
2025-12-19,2025-12-22,bull,1.75,3.0999999999999996,25500,25200,298.25,-401.25,next_open,-0.40124999999999994,-13203.75
2025-12-22,2025-12-23,bull,0.8500000000000001,0.050000000000000044,25650,25350,299.15,-240.0,next_open,-0.24,-13443.75
2025-12-24,2025-12-26,bull,1.7000000000000002,1.7000000000000002,25650,25350,298.3,-300.0,next_open,-0.3,-13743.75
2025-12-29,2025-12-30,bear,0.6499999999999999,-0.55,26500,26800,299.35,-210.0,next_open,-0.21,-13953.75
2026-01-07,2026-01-08,bear,1.6,1.6,26750,27050,298.4,-300.0,next_open,-0.3,-14253.75
2026-01-09,2026-01-12,bear,3.75,2.1000000000000005,26300,26600,296.25,-176.25000000000006,next_open,-0.17625000000000007,-14430.0
