entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-07-15,2025-07-16,bear,2.55,2.4000000000000004,25650,25900,247.45,-288.75000000000006,next_open,-0.28875000000000006,-288.75000000000006
2025-07-16,2025-07-17,bull,2.05,0.9,24850,24600,247.95,-213.75,next_open,-0.21375,-502.50000000000006
2025-07-18,2025-07-21,bear,15.049999999999999,18.85,25400,25650,234.95,-585.0000000000002,next_open,-0.5850000000000002,-1087.5000000000002
2025-07-21,2025-07-22,bear,7.3999999999999995,9.65,25500,25750,242.6,-468.75000000000006,next_open,-0.46875000000000006,-1556.2500000000002
2025-07-22,2025-07-23,bear,2.85,3.55,25450,25700,247.15,-352.5,next_open,-0.3525,-1908.7500000000002
2025-07-23,2025-07-24,bull,1.4999999999999998,1.5,24850,24600,248.5,-300.0,next_open,-0.3,-2208.75
2025-08-19,2025-08-20,bull,4.75,4.75,24650,24400,245.25,-300.0,next_open,-0.3,-2508.75
2025-08-20,2025-08-21,bull,2.6500000000000004,0.8999999999999999,24700,24450,247.35,-168.74999999999997,next_open,-0.16874999999999998,-2677.5
2025-08-25,2025-08-26,bear,3.7500000000000004,2.35,25350,25600,246.25,-194.99999999999997,next_open,-0.19499999999999998,-2872.5
2025-09-04,2025-09-05,bull,13.049999999999999,10.4,24450,24200,236.95,-101.25000000000011,next_open,-0.1012500000000001,-2973.75
2025-09-05,2025-09-08,bull,7.500000000000001,3.65,24450,24250,192.5,-11.249999999999943,next_open,-0.011249999999999942,-2985.0
2025-09-08,2025-09-09,bull,4.550000000000001,0.8499999999999999,24500,24250,245.45,-22.499999999999943,next_open,-0.022499999999999944,-3007.5
2025-09-10,2025-09-11,bull,15.45,19.6,24700,24450,234.55,-611.2500000000002,next_open,-0.6112500000000003,-3618.75
2025-09-11,2025-09-12,bull,11.749999999999998,7.2,24750,24500,238.25,41.24999999999983,next_open,0.04124999999999983,-3577.5
2025-09-12,2025-09-15,bull,8.25,6.85,24850,24550,291.75,-194.99999999999997,next_open,-0.19499999999999998,-3772.5
2025-09-15,2025-09-16,bull,2.8500000000000005,2.75,24800,24550,247.15,-292.49999999999994,next_open,-0.2924999999999999,-4065.0
2025-09-17,2025-09-18,bull,12.85,6.8,25050,24800,237.15,153.75,next_open,0.15375,-3911.25
2025-09-18,2025-09-19,bull,7.549999999999999,8.55,25150,24850,292.45,-375.0000000000001,next_open,-0.3750000000000001,-4286.25
2025-09-19,2025-09-22,bull,5.300000000000001,7.700000000000001,25050,24800,244.7,-480.0,next_open,-0.48,-4766.25
2025-09-24,2025-09-25,bear,7.949999999999999,7.1499999999999995,25500,25750,242.05,-240.0,next_open,-0.24,-5006.25
