entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-07-25,2025-07-28,bear,9.45,7.65,25350,25650,290.55,-165.00000000000009,next_open,-0.1650000000000001,-165.00000000000009
2025-07-28,2025-07-29,bear,7.749999999999999,5.6499999999999995,25200,25500,292.25,-142.50000000000003,next_open,-0.14250000000000002,-307.5000000000001
2025-07-29,2025-07-30,bear,2.5999999999999996,2.35,25350,25650,297.4,-281.25000000000006,next_open,-0.28125000000000006,-588.7500000000002
2025-07-30,2025-07-31,bull,1.1,2.9,24350,24050,298.9,-435.0,next_open,-0.43499999999999994,-1023.7500000000002
2025-08-01,2025-08-04,bear,11.45,10.3,25100,25400,288.55,-213.7500000000001,next_open,-0.2137500000000001,-1237.5000000000005
2025-08-04,2025-08-05,bear,3.8000000000000003,2.85,25300,25600,296.2,-228.75,next_open,-0.22875,-1466.2500000000005
2025-08-05,2025-08-06,bear,1.5999999999999999,1.2,25200,25500,298.4,-270.0,next_open,-0.27,-1736.2500000000005
2025-08-06,2025-08-07,bull,3.25,2.55,24150,23850,296.75,-247.5,next_open,-0.24750000000000003,-1983.7500000000005
2025-08-08,2025-08-11,bear,7.250000000000001,8.4,24950,25200,242.75,-386.24999999999994,next_open,-0.38625,-2370.0000000000005
2025-08-11,2025-08-12,bear,3.3,2.8,25100,25400,296.7,-262.5,next_open,-0.2625,-2632.5000000000005
2025-08-12,2025-08-13,bear,1.3,1.5,25050,25350,298.7,-315.0,next_open,-0.315,-2947.5000000000005
2025-08-13,2025-08-14,bull,1.7499999999999998,1.0,24200,23900,298.25,-243.75,next_open,-0.24375,-3191.2500000000005
2025-08-18,2025-08-19,bull,6.1000000000000005,5.0,24450,24150,293.9,-217.49999999999994,next_open,-0.21749999999999994,-3408.7500000000005
2025-08-22,2025-08-25,bear,5.800000000000001,6.7,25400,25700,294.2,-367.49999999999994,next_open,-0.36749999999999994,-3776.2500000000005
