entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-07-25,2025-07-28,bear,17.2,10.4,25200,25450,232.8,209.99999999999994,next_open,0.20999999999999994,209.99999999999994
2025-07-28,2025-07-29,bear,11.55,9.8,25100,25350,238.45,-168.75,next_open,-0.16875,41.24999999999994
2025-07-29,2025-07-30,bear,6.199999999999999,5.75,25200,25450,243.8,-266.25000000000006,next_open,-0.26625000000000004,-225.0000000000001
2025-07-30,2025-07-31,bull,2.85,14.700000000000001,24500,24250,247.15,-1188.75,next_open,-1.18875,-1413.75
2025-08-01,2025-08-04,bear,16.9,17.5,25000,25250,233.1,-345.0000000000001,next_open,-0.34500000000000014,-1758.75
2025-08-04,2025-08-05,bear,9.1,6.9,25150,25400,240.9,-135.00000000000006,next_open,-0.13500000000000006,-1893.75
2025-08-05,2025-08-06,bear,3.15,2.5,25100,25350,246.85,-251.25,next_open,-0.25125,-2145.0
2025-08-06,2025-08-07,bull,5.2,7.0,24250,24000,244.8,-435.0,next_open,-0.43499999999999994,-2580.0
2025-08-08,2025-08-11,bear,15.45,12.8,24800,25050,234.55,-101.25000000000011,next_open,-0.1012500000000001,-2681.25
2025-08-11,2025-08-12,bear,6.750000000000001,4.75,25000,25250,243.25,-149.99999999999994,next_open,-0.14999999999999994,-2831.25
2025-08-12,2025-08-13,bear,3.7,4.550000000000001,24900,25150,246.3,-363.75000000000006,next_open,-0.3637500000000001,-3195.0
2025-08-13,2025-08-14,bull,4.199999999999999,5.45,24350,24100,245.8,-393.75000000000006,next_open,-0.3937500000000001,-3588.75
2025-08-18,2025-08-19,bull,13.3,7.85,24600,24350,236.7,108.75000000000006,next_open,0.10875000000000005,-3480.0
2025-08-22,2025-08-25,bear,13.1,17.1,25250,25500,236.9,-600.0000000000001,next_open,-0.6000000000000001,-4080.0
2025-08-26,2025-08-28,bear,4.55,1.7000000000000002,25100,25350,245.45,-86.25000000000003,next_open,-0.08625000000000003,-4166.25
2025-08-29,2025-09-01,bear,2.5999999999999996,3.25,24950,25200,247.4,-348.75,next_open,-0.34875,-4515.0
2025-09-01,2025-09-02,bull,5.3500000000000005,1.6,24400,24150,244.65,-18.749999999999943,next_open,-0.018749999999999944,-4533.75
2025-09-03,2025-09-04,bull,19.35,4.700000000000001,24450,24200,230.65,798.75,next_open,0.79875,-3735.0
2025-09-22,2025-09-23,bear,1.15,1.2,25650,25900,248.85,-303.75,next_open,-0.30374999999999996,-4038.75
2025-10-01,2025-10-03,bull,16.15,12.75,24600,24350,233.85,-45.000000000000114,next_open,-0.04500000000000011,-4083.75
2025-10-03,2025-10-06,bull,9.450000000000001,7.45,24650,24400,240.55,-149.99999999999994,next_open,-0.14999999999999994,-4233.75
2025-10-06,2025-10-07,bull,2.2500000000000004,2.05,24800,24550,247.75,-284.99999999999994,next_open,-0.2849999999999999,-4518.75
2025-10-08,2025-10-09,bull,12.049999999999999,16.55,24750,24500,237.95,-637.5000000000001,next_open,-0.6375000000000002,-5156.25
2025-10-16,2025-10-17,bull,9.8,12.149999999999999,25250,25000,240.2,-476.24999999999983,next_open,-0.47624999999999984,-5632.5
2025-10-17,2025-10-20,bull,5.3500000000000005,3.8,25350,25100,244.65,-183.74999999999994,next_open,-0.18374999999999994,-5816.25
2025-10-29,2025-10-30,bull,32.150000000000006,37.75,25850,25600,217.85,-719.9999999999995,next_open,-0.7199999999999995,-6536.25
2025-10-30,2025-10-31,bull,22.7,23.799999999999997,25650,25400,227.3,-382.49999999999983,next_open,-0.3824999999999998,-6918.75
2025-10-31,2025-11-03,bear,4.950000000000001,2.1,26300,26550,245.05,-86.24999999999991,next_open,-0.08624999999999991,-7005.0
2025-11-03,2025-11-04,bear,1.0,0.55,26300,26550,249.0,-266.25,next_open,-0.26625,-7271.25
2025-11-26,2025-11-27,bull,39.8,32.1,26000,25700,260.2,277.49999999999966,next_open,0.2774999999999997,-6993.75
2025-11-27,2025-11-28,bull,24.05,21.95,26000,25750,225.95,-142.4999999999999,next_open,-0.1424999999999999,-7136.25
2025-11-28,2025-12-01,bull,16.1,6.65,26000,25750,233.9,408.7500000000001,next_open,0.40875000000000006,-6727.5
2025-12-01,2025-12-02,bear,0.34999999999999987,0.29999999999999993,26750,27000,249.65,-296.25,next_open,-0.29625,-7023.75
