strategy,trades,win_rate_pct,total_pnl_rs,total_return_pct,cagr_pct,max_drawdown_pct,avg_win_rs,avg_loss_rs,profit_factor,sharpe_like,period_days,signal,width,notes
Zen-pcr-Tight,77,42.9,-3397.0,-3.4,-3.2,-8.42,604.0,-530.0,0.85,-0.48,391,pcr,Tight,"Zen-mechanic sweep: signal=pcr, width=Tight"
Zen-oi_bias-Tight,76,40.8,-8516.0,-8.52,-8.3,-13.95,774.0,-722.0,0.74,-0.9,377,oi_bias,Tight,"Zen-mechanic sweep: signal=oi_bias, width=Tight"
Zen-pcr-Wide,77,19.5,-11426.0,-11.43,-10.7,-15.97,774.0,-371.0,0.5,-1.83,391,pcr,Wide,"Zen-mechanic sweep: signal=pcr, width=Wide"
Zen-oi_bias-Medium,76,36.8,-11869.0,-11.87,-11.5,-12.69,778.0,-701.0,0.65,-1.23,377,oi_bias,Medium,"Zen-mechanic sweep: signal=oi_bias, width=Medium"
Zen-pcr-Medium,77,29.9,-12229.0,-12.23,-11.5,-16.22,582.0,-474.0,0.52,-1.77,391,pcr,Medium,"Zen-mechanic sweep: signal=pcr, width=Medium"
Zen-pcr-VeryWide,77,11.7,-12525.0,-12.52,-11.8,-15.77,765.0,-285.0,0.35,-3.08,391,pcr,VeryWide,"Zen-mechanic sweep: signal=pcr, width=VeryWide"
Zen-oi_bias-VeryWide,76,18.4,-13440.0,-13.44,-13.0,-13.65,619.0,-356.0,0.39,-2.56,377,oi_bias,VeryWide,"Zen-mechanic sweep: signal=oi_bias, width=VeryWide"
Zen-mean_rev-Wide,84,32.1,-14764.0,-14.76,-14.0,-23.27,815.0,-645.0,0.6,-1.17,388,mean_rev,Wide,"Zen-mechanic sweep: signal=mean_rev, width=Wide"
Zen-oi_bias-Wide,76,19.7,-18814.0,-18.81,-18.3,-18.68,818.0,-510.0,0.39,-1.99,377,oi_bias,Wide,"Zen-mechanic sweep: signal=oi_bias, width=Wide"
Zen-vol_contract-Tight,109,41.3,-19147.0,-19.15,-19.1,-20.79,575.0,-703.0,0.57,-2.07,366,vol_contract,Tight,"Zen-mechanic sweep: signal=vol_contract, width=Tight"
Zen-mean_rev-VeryWide,84,23.8,-20925.0,-20.92,-19.8,-23.58,899.0,-608.0,0.46,-1.83,388,mean_rev,VeryWide,"Zen-mechanic sweep: signal=mean_rev, width=VeryWide"
